Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Inside Forward_Score,Traditional Winger_Score,Winger_Type,Performance_Score_Raw,Performance_Score,Rank
106,premier-league,Liverpool FC,Mohamed Salah,33,30000000.0,23,1910,20,6,0.28,12,0.57,7.68,0.36,6.98,26,7,16,0.75,3,0.14,6,0.28,1,0.05,8,0.38,0,0.0,167,7.87,51,2.4,8,0.38,6,0.28,6.31,0.3,683,32.18,515,24.27,0.754,47,2.21,101,4.76,16,0.75,0.1583999999999999,62,2.92,13,0.61,0.2097,35,1.65,13,0.61,1,0,1,0.05,10,0.47,16,0.75,30160000.0,85,3.4,0.0,7,0.67,1,0.27,19,0.67,14.29,7.75,Right Winger,Traditional Winger,68.34615384615384,74.28846153846153,Right Winger,40.76243367718898,40.76243367718898,11
622,la-liga,Villarreal CF,Hugo López,19,1000000.0,28,1811,21,11,0.55,15,0.75,11.24,0.56,11.24,20,8,11,0.55,4,0.2,26,1.29,3,0.15,3,0.15,0,0.0,232,11.53,89,4.42,31,1.54,4,0.2,3.8,0.19,403,20.03,309,15.36,0.7667,21,1.04,7,0.35,1,0.05,0.1429,69,3.43,36,1.79,0.5217,25,1.24,11,0.55,0,0,0,0.0,35,1.74,12,0.6,15080000.0,67,3.19,0.0,6,0.4,5,0.22,1,0.33,83.33,3.0,Left Winger,Inside Forward,82.84615384615385,25.0,Left Winger,40.116952543104105,40.116952543104105,12
181,premier-league,Newcastle United,Anthony Gordon,25,60000000.0,26,1814,24,6,0.3,8,0.4,7.39,0.37,5.29,26,5,18,0.89,3,0.15,13,0.64,0,0.0,10,0.5,0,0.0,206,10.21,98,4.86,9,0.45,2,0.1,2.91,0.14,513,25.44,419,20.78,0.8168000000000001,25,1.24,69,3.42,16,0.79,0.2319,64,3.17,31,1.54,0.4844,29,1.44,5,0.25,4,1,5,0.25,13,0.64,40,1.98,10254400.0,123,4.1,33.33,6,0.4,5,0.22,1,0.04,83.33,3.0,Left Winger,Inside Forward,71.73076923076923,54.96153846153846,Left Winger,38.735591381323424,38.735591381323424,13
210,premier-league,Nottingham Forest,Callum Hudson-Odoi,25,30000000.0,30,1849,21,3,0.15,7,0.34,4.08,0.2,4.08,26,8,16,0.78,8,0.39,14,0.68,2,0.1,10,0.49,0,0.0,132,6.43,59,2.87,4,0.19,4,0.19,5.08,0.25,653,31.78,585,28.47,0.8959,44,2.14,91,4.43,14,0.68,0.1538,58,2.82,31,1.51,0.5345,20,0.97,2,0.1,0,0,0,0.0,12,0.58,12,0.58,6786000.0,67,2.34,33.33,6,0.4,5,0.07,5,0.33,16.67,0.0,Left Winger,Traditional Winger,48.84615384615384,67.76923076923077,Left Winger,38.666394264166264,38.666394264166264,14
620,la-liga,Villarreal CF,Alberto Moleiro,22,40000000.0,30,1998,25,9,0.41,13,0.59,8.66,0.39,8.66,22,8,24,1.09,9,0.41,12,0.54,3,0.14,43,1.95,0,0.0,208,9.42,74,3.35,3,0.14,4,0.18,4.44,0.2,603,27.3,458,20.73,0.7595000000000001,30,1.36,20,0.91,7,0.32,0.35,49,2.22,26,1.18,0.5306000000000001,22,1.0,3,0.14,3,0,3,0.14,29,1.31,22,1.0,3900000.0,123,3.4,33.33,6,0.4,1,0.22,5,0.33,83.33,0.0,Left Winger,Inside Forward,72.07692307692307,38.05769230769231,Left Winger,38.22924171229475,38.22924171229475,15
444,premier-league,West Ham United,Jarrod Bowen,29,35000000.0,32,2871,32,8,0.25,16,0.5,10.04,0.31,9.34,50,5,42,1.32,23,0.72,34,1.07,6,0.19,23,0.72,0,0.0,364,11.41,160,5.02,26,0.82,8,0.25,6.92,0.22,672,21.07,500,15.67,0.7440000000000001,35,1.1,114,3.57,19,0.6,0.1667,102,3.2,48,1.5,0.4706,68,2.13,17,0.53,4,0,4,0.13,17,0.53,45,1.41,8911500.0,85,3.4,0.0,7,0.4,2,0.06,19,0.35,38.71,0.0,Right Winger,Inside Forward,63.38461538461539,52.9423076923077,Right Winger,36.98443453587178,36.98443453587178,16
704,la-liga,Real Betis Balompié,Antony,26,40000000.0,26,1986,24,7,0.32,12,0.54,9.75,0.44,9.75,30,7,27,1.22,18,0.82,16,0.73,1,0.05,19,0.86,0,0.0,178,8.07,87,3.94,6,0.27,5,0.23,6.23,0.28,946,42.87,772,34.98,0.8161,45,2.04,56,2.54,14,0.63,0.25,41,1.86,17,0.77,0.4146,23,1.04,1,0.05,6,1,7,0.32,14,0.63,37,1.68,6250000.0,85,3.4,12.9,7,0.78,1,0.66,6,0.35,14.29,0.0,Right Winger,Inside Forward,76.96153846153845,66.88461538461539,Right Winger,36.445358192572726,36.445358192572726,17
156,premier-league,Manchester United,Bryan Mbeumo,26,80000000.0,26,2199,26,9,0.37,12,0.49,10.54,0.43,10.54,29,4,22,0.9,6,0.25,13,0.53,1,0.04,12,0.49,0,0.0,225,9.2,72,2.95,12,0.49,3,0.12,4.7,0.19,693,28.35,547,22.38,0.7893000000000001,41,1.68,88,3.6,31,1.27,0.3522999999999999,46,1.88,13,0.53,0.2826,26,1.06,7,0.29,4,0,4,0.16,20,0.82,26,1.06,12064000.0,85,3.4,20.0,31,0.67,1,0.06,6,0.4,40.0,0.0,Right Winger,Traditional Winger / Inside Forward,72.38461538461537,72.92307692307693,Right Winger,36.334357693839706,36.334357693839706,18
760,la-liga,Valencia CF,Luis Rioja,32,2000000.0,30,2113,25,2,0.09,7,0.3,3.45,0.15,3.45,30,8,28,1.19,15,0.64,27,1.15,0,0.0,25,1.06,0,0.0,185,7.87,88,3.74,3,0.13,5,0.21,5.29,0.23,692,29.45,549,23.36,0.7934,32,1.36,132,5.62,32,1.36,0.2423999999999999,56,2.38,31,1.32,0.5536,23,0.98,5,0.21,1,0,1,0.04,9,0.38,27,1.15,1300000.0,85,3.4,12.9,7,0.67,1,0.06,6,1.04,40.0,0.0,Right Winger,Traditional Winger,42.11538461538461,76.96153846153847,Right Winger,35.97272723636604,35.97272723636604,19
787,la-liga,Girona FC,Viktor Tsygankov,28,15000000.0,25,2022,24,5,0.22,9,0.4,5.77,0.26,5.77,26,5,26,1.16,17,0.76,28,1.25,3,0.13,14,0.62,0,0.0,196,8.72,95,4.23,23,1.02,4,0.18,5.02,0.22,780,34.72,646,28.75,0.8281999999999999,39,1.74,89,3.96,20,0.89,0.2246999999999999,44,1.96,20,0.89,0.4545,20,0.89,2,0.09,2,0,2,0.09,16,0.71,29,1.29,3375000.0,85,3.4,0.0,7,0.67,12,0.11,3,0.35,40.0,0.0,Right Winger,Traditional Winger,58.11538461538463,70.17307692307693,Right Winger,35.316135516793636,35.316135516793636,20
