Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Inside Forward_Score,Traditional Winger_Score,Winger_Type,Performance_Score_Raw,Performance_Score,Rank
369,premier-league,Everton FC,Iliman Ndiaye,26,50000000.0,26,2249,26,6,0.24,9,0.36,6.39,0.26,4.99,30,8,58,2.32,13,0.52,17,0.68,2,0.08,21,0.84,0,0.0,330,13.21,153,6.12,10,0.4,3,0.12,3.9,0.16,784,31.37,658,26.33,0.8393,25,1.0,44,1.76,7,0.28,0.1591,102,4.08,53,2.12,0.5196000000000001,53,2.12,9,0.36,2,0,2,0.08,26,1.04,32,1.28,3393000.0,85,3.4,0.0,31,1.69,1,0.11,6,0.35,14.29,0.0,Right Winger,Inside Forward,71.28846153846153,28.365384615384613,Right Winger,31.448485972838352,31.448485972838352,31
157,premier-league,Manchester United,Amad Diallo,23,50000000.0,25,1921,22,2,0.09,4,0.19,4.69,0.22,4.69,24,4,33,1.55,13,0.61,26,1.22,1,0.05,15,0.7,0,0.0,212,9.93,109,5.11,9,0.42,2,0.09,4.17,0.2,780,36.54,689,32.28,0.8833,38,1.78,40,1.87,11,0.52,0.275,66,3.09,35,1.64,0.5303,23,1.08,11,0.52,2,0,2,0.09,18,0.84,33,1.55,7129200.0,85,3.4,12.9,5,0.4,2,0.06,19,0.4,14.29,7.75,Right Winger,Traditional Winger / Inside Forward,46.192307692307686,50.5,Right Winger,29.91589566219844,29.91589566219844,32
865,la-liga,Rayo Vallecano,Jorge de Frutos,29,12000000.0,29,2067,27,10,0.44,11,0.48,10.27,0.45,9.57,22,9,24,1.04,7,0.3,12,0.52,0,0.0,16,0.7,0,0.0,216,9.4,90,3.92,14,0.61,1,0.04,2.13,0.09,319,13.89,249,10.84,0.7806000000000001,25,1.09,34,1.48,9,0.39,0.2647,43,1.87,21,0.91,0.4884,32,1.39,16,0.7,3,0,3,0.13,31,1.35,32,1.39,2350000.0,85,3.4,0.0,7,0.78,1,0.66,19,0.67,38.71,5.0,Right Winger,Inside Forward,82.17307692307692,26.98076923076923,Right Winger,29.651977025021075,29.651977025021075,33
518,premier-league,Burnley FC,Jaidon Anthony,26,18000000.0,31,2213,26,7,0.28,8,0.33,8.07,0.33,8.07,43,4,36,1.46,14,0.57,24,0.98,8,0.33,24,0.98,1,0.04,265,10.78,116,4.72,11,0.45,1,0.04,2.95,0.12,694,28.22,551,22.41,0.7939,32,1.3,61,2.48,12,0.49,0.1967,82,3.33,33,1.34,0.4024,40,1.63,8,0.33,4,0,4,0.16,22,0.89,39,1.59,3393000.0,75,4.0,33.33,6,0.4,5,0.07,5,0.04,16.67,3.0,Left Winger,Inside Forward,67.40384615384616,37.55769230769231,Left Winger,29.458555535251534,29.458555535251534,34
836,la-liga,RCD Espanyol Barcelona,Pere Milla,33,1200000.0,27,1664,21,6,0.32,6,0.32,7.41,0.4,7.41,20,7,29,1.57,14,0.76,12,0.65,3,0.16,29,1.57,0,0.0,190,10.28,85,4.6,23,1.24,0,0.0,2.13,0.12,445,24.07,327,17.69,0.7348,30,1.62,30,1.62,6,0.32,0.2,17,0.92,7,0.38,0.4118,25,1.35,9,0.49,6,1,7,0.38,22,1.19,31,1.68,1562500.0,123,2.34,33.33,6,0.27,1,0.07,1,0.33,83.33,3.0,Left Winger,Inside Forward,58.21153846153846,32.90384615384615,Left Winger,29.137410360135156,29.137410360135156,35
837,la-liga,RCD Espanyol Barcelona,Tyrhys Dolan,24,10000000.0,30,2039,24,1,0.04,5,0.22,2.51,0.11,2.51,31,7,49,2.16,15,0.66,13,0.57,1,0.04,19,0.84,0,0.0,263,11.61,130,5.74,11,0.49,4,0.18,4.22,0.19,491,21.67,412,18.19,0.8391,27,1.19,91,4.02,20,0.88,0.2198,73,3.22,30,1.32,0.411,31,1.37,5,0.22,6,1,6,0.26,30,1.32,41,1.81,1825000.0,85,3.4,0.0,5,0.67,1,0.66,6,0.4,14.29,7.75,Right Winger,Traditional Winger,35.48076923076923,61.50000000000001,Right Winger,28.37425579678439,28.37425579678439,36
182,premier-league,Newcastle United,Harvey Barnes,28,32000000.0,31,1677,17,5,0.27,5,0.27,7.03,0.38,7.03,23,8,13,0.7,3,0.16,15,0.81,1,0.05,9,0.48,0,0.0,125,6.71,47,2.52,4,0.21,0,0.0,1.6,0.09,490,26.3,390,20.93,0.7959,20,1.07,68,3.65,14,0.75,0.2059,37,1.99,10,0.54,0.2703,21,1.13,3,0.16,1,0,1,0.05,15,0.81,20,1.07,6032000.0,85,4.19,33.33,6,0.4,1,0.22,1,0.04,83.33,0.0,Left Winger,Inside Forward,61.49999999999999,46.1923076923077,Left Winger,28.3570366386176,28.3570366386176,37
390,premier-league,Fulham FC,Alex Iwobi,29,25000000.0,26,2236,26,4,0.16,7,0.28,4.71,0.19,4.71,37,4,22,0.89,14,0.56,16,0.64,3,0.12,8,0.32,0,0.0,122,4.91,54,2.17,7,0.28,3,0.12,5.21,0.21,1278,51.44,1087,43.75,0.8504999999999999,38,1.53,81,3.26,29,1.17,0.358,41,1.65,16,0.64,0.3902,21,0.85,1,0.04,3,0,3,0.12,7,0.28,10,0.4,6032000.0,67,4.19,0.0,6,0.4,5,0.07,5,0.33,16.67,0.0,Left Winger,Traditional Winger,40.96153846153846,72.88461538461539,Left Winger,28.165701009884963,28.165701009884963,38
758,la-liga,Valencia CF,Arnaut Danjuma,29,4000000.0,28,1580,18,3,0.17,5,0.28,4.46,0.25,3.76,24,6,11,0.63,1,0.06,6,0.34,1,0.06,6,0.34,0,0.0,150,8.54,65,3.7,8,0.46,2,0.11,2.36,0.13,374,21.3,290,16.52,0.7754000000000001,15,0.85,45,2.56,14,0.8,0.3111,58,3.3,25,1.42,0.431,15,0.85,5,0.28,0,0,0,0.0,21,1.2,22,1.25,2350000.0,83,4.0,33.33,6,0.4,5,0.22,5,0.33,16.67,0.0,Left Winger,Inside Forward / Traditional Winger,52.99999999999999,48.94230769230769,Left Winger,25.95731848290655,25.95731848290655,39
706,la-liga,Real Betis Balompié,Aitor Ruibal,30,4000000.0,25,1647,18,4,0.22,6,0.33,4.74,0.26,4.74,18,9,37,2.02,18,0.98,37,2.02,4,0.22,24,1.31,1,0.05,174,9.51,81,4.43,7,0.38,2,0.11,3.0,0.16,641,35.03,528,28.85,0.8237000000000001,20,1.09,30,1.64,10,0.55,0.3333,28,1.53,13,0.71,0.4643,19,1.04,0,0.0,4,0,4,0.22,28,1.53,25,1.37,2075000.0,85,3.4,12.9,31,1.69,12,0.66,19,1.04,38.71,7.75,Right Winger,Inside Forward,61.25000000000001,42.80769230769231,Right Winger,25.286624168648018,25.286624168648018,40
623,la-liga,Villarreal CF,Tajon Buchanan,27,12000000.0,29,1623,18,6,0.33,7,0.39,5.54,0.31,5.54,13,7,24,1.33,23,1.28,15,0.83,2,0.11,16,0.89,0,0.0,188,10.43,80,4.44,2,0.11,1,0.06,1.86,0.1,413,22.92,334,18.53,0.8087000000000001,16,0.89,28,1.55,3,0.17,0.1071,62,3.44,20,1.11,0.3226,23,1.28,8,0.44,8,0,8,0.44,18,1.0,34,1.89,3900000.0,85,3.4,20.0,7,1.69,1,0.06,3,0.4,40.0,5.0,Right Winger,Inside Forward,75.75,18.461538461538463,Right Winger,25.207857678798806,25.207857678798806,41
653,la-liga,Athletic Bilbao,Iñaki Williams,31,10000000.0,23,1668,19,2,0.11,6,0.32,4.48,0.24,3.78,22,2,8,0.43,4,0.22,9,0.49,1,0.05,8,0.43,0,0.0,173,9.33,61,3.29,22,1.19,4,0.22,3.52,0.19,389,20.99,275,14.84,0.7069,17,0.92,54,2.91,6,0.32,0.1110999999999999,49,2.64,12,0.65,0.2448999999999999,24,1.29,6,0.32,1,0,1,0.05,20,1.08,21,1.13,14250000.0,85,3.4,12.9,5,0.78,1,0.06,6,0.67,38.71,7.75,Right Winger,Inside Forward,50.36538461538461,31.634615384615383,Right Winger,23.46081618893127,23.46081618893127,42
342,premier-league,Brentford FC,Kevin Schade,24,35000000.0,29,2306,27,7,0.27,10,0.39,8.41,0.33,7.71,27,8,36,1.41,19,0.74,27,1.05,4,0.16,8,0.31,0,0.0,353,13.78,163,6.36,70,2.73,3,0.12,3.47,0.14,453,17.68,309,12.06,0.6820999999999999,27,1.05,18,0.7,4,0.16,0.2221999999999999,58,2.26,20,0.78,0.3448,42,1.64,10,0.39,7,1,8,0.31,41,1.6,37,1.44,754000.0,67,4.19,33.33,6,0.4,1,0.07,1,0.33,16.67,0.0,Left Winger,Inside Forward,60.82692307692308,24.365384615384617,Left Winger,23.084571468209532,23.084571468209532,43
389,premier-league,Fulham FC,Kevin,23,30000000.0,29,2306,27,7,0.27,10,0.39,8.41,0.33,7.71,27,8,36,1.41,19,0.74,27,1.05,4,0.16,8,0.31,0,0.0,353,13.78,163,6.36,70,2.73,3,0.12,3.47,0.14,453,17.68,309,12.06,0.6820999999999999,27,1.05,18,0.7,4,0.16,0.2221999999999999,58,2.26,20,0.78,0.3448,42,1.64,10,0.39,7,1,8,0.31,41,1.6,37,1.44,754000.0,106,2.34,0.0,6,0.27,5,0.22,5,0.04,16.67,0.0,Left Winger,Inside Forward,55.05769230769231,24.365384615384617,Left Winger,23.084571468209532,23.084571468209532,43
1015,la-liga,Real Oviedo,Ilyas Chaira,25,4000000.0,29,1939,24,4,0.19,6,0.28,7.49,0.35,7.49,26,9,40,1.86,5,0.23,10,0.46,4,0.19,22,1.02,0,0.0,286,13.27,102,4.73,15,0.7,2,0.09,2.73,0.13,529,24.55,443,20.56,0.8373999999999999,14,0.65,55,2.55,9,0.42,0.1636,84,3.9,24,1.11,0.2857,31,1.44,16,0.74,3,1,4,0.19,47,2.18,25,1.16,1175000.0,67,3.19,33.33,6,0.4,1,0.22,5,0.33,16.67,3.0,Left Winger,Inside Forward,60.826923076923066,28.57692307692308,Left Winger,21.83160500002668,21.83160500002668,45
759,la-liga,Valencia CF,Diego López,23,12000000.0,29,2033,24,5,0.22,6,0.27,5.94,0.26,5.94,23,7,76,3.36,17,0.75,28,1.24,3,0.13,24,1.06,1,0.04,302,13.36,153,6.77,50,2.21,1,0.04,2.38,0.11,704,31.14,557,24.63,0.7912,21,0.93,22,0.97,6,0.27,0.2727,38,1.68,18,0.8,0.4736999999999999,25,1.11,1,0.04,9,0,9,0.4,47,2.08,10,0.44,1300000.0,85,3.4,0.0,5,1.69,1,0.06,6,1.04,14.29,5.0,Right Winger,Inside Forward,62.46153846153847,22.634615384615387,Right Winger,19.426138022493223,19.426138022493223,46
965,la-liga,Elche CF,Yago Santiago,22,1000000.0,23,2013,22,2,0.09,3,0.13,1.85,0.08,1.85,33,4,40,1.79,21,0.94,89,3.98,14,0.63,9,0.4,0,0.0,153,6.84,85,3.8,36,1.61,1,0.04,2.27,0.1,883,39.48,772,34.52,0.8743000000000001,7,0.31,5,0.22,2,0.09,0.4,1,0.04,0,0.0,0.0,4,0.18,1,0.04,4,0,4,0.18,21,0.94,9,0.4,3016000.0,67,4.19,33.33,6,0.27,5,0.22,1,0.04,83.33,3.0,Left Winger,Inside Forward / Traditional Winger,14.96153846153846,12.711538461538463,Left Winger,10.957305664707896,10.957305664707896,47
47,premier-league,Arsenal FC,Max Dowman,16,20000000.0,21,1557,17,0,0.0,0,0.0,0.44,0.03,0.44,32,1,16,0.92,7,0.4,110,6.35,23,1.33,6,0.35,2,0.12,128,7.39,67,3.87,45,2.6,0,0.0,1.17,0.07,678,39.17,595,34.37,0.8776,4,0.23,3,0.17,1,0.06,0.3333,5,0.29,4,0.23,0.8,6,0.35,0,0.0,4,0,4,0.23,16,0.92,2,0.12,5941000.0,85,3.4,0.0,7,0.4,1,0.06,6,0.35,14.29,0.0,Right Winger,Inside Forward / Traditional Winger,13.711538461538462,8.865384615384617,Right Winger,2.9291326207278416,2.9291326207278416,48
967,la-liga,Elche CF,Josan,36,100000.0,25,2250,25,0,0.0,0,0.0,0.0,0.0,0.0,17,12,4,0.16,0,0.0,34,1.36,0,0.0,0,0.0,0,0.0,19,0.76,17,0.68,7,0.28,0,0.0,1.54,0.06,729,29.16,655,26.2,0.8985,0,0.0,0,0.0,0,0.0,0.0,1,0.04,1,0.04,1.0,1,0.04,0,0.0,1,0,1,0.04,0,0.0,4,0.16,7812500.0,85,3.4,20.0,31,0.67,2,0.27,6,0.35,40.0,0.0,Right Winger,Inside Forward,18.48076923076924,4.288461538461539,Right Winger,0.0,0.0,49
