Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Anchor Man_Score,Deep Lying Playmaker_Score,Ball Winning Midfielder_Score,Performance_Score_Raw,Performance_Score,Rank,Value_Norm,Age_Norm,Value_Score,Value_Rank
957,la-liga,Elche CF,Federico Redondo,23,3500000.0,27,1947,22,9,0.42,10,0.46,9.14,0.42,7.74,25,9,40,1.86,11,0.51,20,0.93,3,0.14,9,0.42,0,0.0,400,18.59,207,9.62,72,3.35,1,0.05,2.14,0.1,419,19.47,294,13.66,0.7017,21,0.98,3,0.14,1,0.05,0.3333,58,2.69,38,1.77,0.6552,45,2.09,8,0.37,7,3,8,0.37,37,1.72,59,2.74,1040000.0,75,4.1,0.0,0,0.72,0,0.0,13,0.54,0.0,11.0,Defensive Midfield,Ball Winning Midfielder,14.26470588235294,29.926470588235293,69.85294117647058,22.219651255667177,22.219651255667177,25,0.024725274725274724,0.2631578947368421,16.214735119172094,14
227,premier-league,Aston Villa,Amadou Onana,24,45000000.0,23,1657,20,2,0.11,2,0.11,2.59,0.14,2.59,22,7,45,2.42,23,1.24,57,3.07,17,0.92,11,0.59,0,0.0,177,9.53,112,6.03,37,1.99,0,0.0,1.9,0.1,791,42.6,691,37.22,0.8736,6,0.32,0,0.0,0,0.0,0.0,13,0.7,8,0.43,0.6154,10,0.54,0,0.0,2,0,2,0.11,19,1.02,25,1.35,10556000.0,83,4.19,9.09,4,0.52,5,0.05,13,0.4,9.09,0.0,Defensive Midfield,Anchor Man,78.97058823529412,42.75735294117647,70.95588235294117,33.68900815151828,33.68900815151828,11,0.40476190476190477,0.3157894736842105,15.230361534976927,15
203,premier-league,Nottingham Forest,Ibrahim Sangaré,28,22000000.0,24,1860,22,2,0.1,4,0.19,2.39,0.12,2.39,22,8,52,2.51,18,0.87,45,2.18,15,0.73,21,1.02,2,0.1,200,9.67,96,4.64,21,1.02,2,0.1,3.06,0.15,828,40.04,720,34.82,0.8695999999999999,11,0.53,7,0.34,0,0.0,0.0,19,0.92,11,0.53,0.5789,16,0.77,0,0.0,5,0,5,0.24,36,1.74,15,0.73,5655000.0,85,4.19,0.0,0,0.4,0,0.0,4,0.47,0.0,0.0,Defensive Midfield,Anchor Man / Ball Winning Midfielder,60.22058823529412,46.36029411764706,59.92647058823529,31.5646619810388,31.5646619810388,14,0.19413919413919414,0.5263157894736842,15.214170367389292,16
695,la-liga,Real Betis Balompié,Marc Roca,29,4000000.0,23,1674,20,0,0.0,2,0.11,0.84,0.05,0.84,25,7,34,1.83,17,0.91,36,1.94,6,0.32,17,0.91,0,0.0,151,8.12,73,3.92,10,0.54,2,0.11,3.22,0.17,861,46.29,752,40.43,0.8734000000000001,14,0.75,9,0.48,3,0.16,0.3333,14,0.75,10,0.54,0.7143,12,0.65,0,0.0,1,0,1,0.05,33,1.77,22,1.18,3125000.0,85,4.0,0.0,18,0.52,0,0.0,10,0.0,25.0,0.0,Defensive Midfield,Deep Lying Playmaker,44.30147058823529,59.70588235294117,30.14705882352941,26.690418373627725,26.690418373627725,22,0.029304029304029304,0.5789473684210527,14.232350126085793,17
905,la-liga,RCD Mallorca,Omar Mascarell,33,800000.0,24,1755,20,1,0.05,3,0.15,0.94,0.05,0.94,25,3,41,2.1,29,1.49,57,2.92,13,0.67,15,0.77,0,0.0,147,7.54,74,3.79,21,1.08,2,0.1,2.97,0.15,790,40.51,669,34.31,0.8468000000000001,7,0.36,6,0.31,1,0.05,0.1667,7,0.36,4,0.21,0.5714,4,0.21,0,0.0,4,0,4,0.21,30,1.54,11,0.56,1050000.0,85,4.1,0.0,0,0.72,5,0.21,10,0.54,9.09,0.0,Defensive Midfield,Anchor Man,82.5735294117647,31.47058823529412,37.5,29.955201237710103,29.955201237710103,17,0.0,0.7894736842105263,14.165727553499575,18
540,la-liga,Real Madrid,Aurélien Tchouaméni,26,75000000.0,28,2253,26,1,0.04,1,0.04,2.63,0.11,2.63,20,9,59,2.36,35,1.4,49,1.96,11,0.44,15,0.6,0,0.0,214,8.55,146,5.83,61,2.44,0,0.0,3.48,0.14,1626,64.95,1488,59.44,0.9151,23,0.92,9,0.36,2,0.08,0.2221999999999999,7,0.28,3,0.12,0.4286,3,0.12,0,0.0,6,0,6,0.24,24,0.96,23,0.92,15625000.0,85,4.19,5.56,0,0.75,0,0.05,0,0.54,0.0,0.0,Defensive Midfield,Deep Lying Playmaker,65.58823529411765,85.47794117647058,68.75,42.101427583835246,42.101427583835246,5,0.6794871794871795,0.42105263157894735,13.295759567640912,19
1006,la-liga,Real Oviedo,Santiago Colombatto,29,3000000.0,26,1682,18,0,0.0,1,0.05,0.91,0.05,0.91,23,8,36,1.93,14,0.75,34,1.82,6,0.32,12,0.64,0,0.0,154,8.24,85,4.55,9,0.48,1,0.05,2.54,0.14,769,41.12,655,35.03,0.8518000000000001,20,1.07,55,2.94,15,0.8,0.2727,7,0.37,4,0.21,0.5714,9,0.48,1,0.05,6,0,6,0.32,37,1.98,36,1.93,1575000.0,67,4.19,5.0,0,0.0,5,0.0,15,0.54,25.0,11.0,Defensive Midfield,Deep Lying Playmaker,37.05882352941176,55.18382352941177,47.79411764705882,24.85825951270064,24.85825951270064,24,0.020146520146520148,0.5789473684210527,12.674916539883982,20
360,premier-league,Everton FC,Idrissa Gueye,36,1000000.0,23,1926,23,2,0.09,5,0.23,2.97,0.14,2.97,23,6,45,2.1,29,1.36,21,0.98,7,0.33,17,0.79,0,0.0,159,7.43,90,4.21,13,0.61,3,0.14,4.03,0.19,982,45.89,854,39.91,0.8697,13,0.61,19,0.89,7,0.33,0.3684,20,0.93,6,0.28,0.3,11,0.51,0,0.0,2,1,3,0.14,19,0.89,27,1.26,9048000.0,67,3.4,9.09,20,0.0,1,0.21,0,0.4,25.0,20.0,Defensive Midfield,Deep Lying Playmaker,48.56617647058823,55.03676470588236,44.11764705882353,29.349900680934812,29.349900680934812,20,0.0018315018315018315,0.9473684210526315,10.347587204937128,21
777,la-liga,Girona FC,Axel Witsel,37,1400000.0,25,2002,23,1,0.04,3,0.13,1.91,0.09,1.91,25,4,29,1.3,25,1.12,47,2.11,7,0.31,28,1.26,0,0.0,193,8.68,100,4.5,38,1.71,2,0.09,4.14,0.19,1151,51.74,1046,47.02,0.9088,16,0.72,1,0.04,0,0.0,0.0,12,0.54,8,0.36,0.6667000000000001,16,0.72,0,0.0,3,1,3,0.13,31,1.39,27,1.21,5200000.0,123,4.1,5.56,11,0.72,5,0.05,4,0.0,25.0,11.0,Defensive Midfield,Deep Lying Playmaker,51.61764705882352,76.02941176470588,27.573529411764707,29.468326750851027,29.468326750851027,19,0.005494505494505495,1.0,9.303491586015863,22
383,premier-league,Fulham FC,Sander Berge,28,25000000.0,32,2686,31,1,0.03,2,0.07,0.8,0.03,0.8,39,6,55,1.84,23,0.77,49,1.64,17,0.57,10,0.33,1,0.03,216,7.23,121,4.05,46,1.54,1,0.03,3.95,0.13,1568,52.52,1409,47.19,0.8986,17,0.57,12,0.4,3,0.1,0.25,20,0.67,9,0.3,0.45,19,0.64,0,0.0,5,0,5,0.17,31,1.04,14,0.47,4147000.0,123,2.34,0.0,0,0.0,0,0.05,0,0.0,0.0,0.0,Defensive Midfield,Deep Lying Playmaker,47.5735294117647,69.41176470588235,33.45588235294118,25.47108515189154,25.47108515189154,23,0.2216117216117216,0.5263157894736842,8.29641771406621,23
880,la-liga,CA Osasuna,Lucas Torró,31,2800000.0,28,1927,26,0,0.0,1,0.05,1.37,0.06,1.37,28,6,29,1.35,25,1.17,43,2.01,4,0.19,7,0.33,0,0.0,215,10.03,144,6.72,86,4.01,1,0.05,2.39,0.11,840,39.19,632,29.49,0.7524,11,0.51,2,0.09,0,0.0,0.0,11,0.51,6,0.28,0.5455,7,0.33,0,0.0,6,0,6,0.28,28,1.31,25,1.17,2600000.0,75,3.4,0.0,11,0.75,0,0.0,0,0.47,27.78,0.0,Defensive Midfield,Ball Winning Midfielder / Anchor Man,46.61764705882353,18.71323529411765,49.63235294117647,19.567477976816743,19.567477976816743,29,0.018315018315018316,0.6842105263157895,5.333816901050403,24
96,premier-league,Liverpool FC,Ryan Gravenberch,23,90000000.0,30,2566,29,4,0.14,7,0.25,4.68,0.16,4.68,27,10,52,1.82,39,1.37,51,1.79,11,0.39,13,0.46,0,0.0,239,8.38,137,4.81,24,0.84,3,0.11,5.24,0.18,1618,56.75,1446,50.72,0.8937,24,0.84,7,0.25,1,0.04,0.1429,45,1.58,25,0.88,0.5556,22,0.77,0,0.0,5,0,5,0.18,30,1.05,36,1.26,11310000.0,123,4.0,0.0,11,0.0,0,0.0,15,0.54,0.0,0.0,Defensive Midfield,Deep Lying Playmaker,60.18382352941176,76.3235294117647,44.85294117647059,34.42446237808246,34.42446237808246,9,0.8168498168498168,0.2631578947368421,4.655809977851114,25
807,la-liga,Sevilla FC,Nemanja Gudelj,34,2500000.0,27,2039,22,2,0.09,2,0.09,2.68,0.12,2.68,34,4,31,1.37,19,0.84,117,5.16,17,0.75,12,0.53,0,0.0,161,7.11,86,3.8,41,1.81,0,0.0,2.3,0.1,990,43.7,887,39.15,0.8959999999999999,6,0.26,6,0.26,1,0.04,0.1667,11,0.49,4,0.18,0.3636,6,0.26,0,0.0,8,0,8,0.35,33,1.46,10,0.44,4950000.0,85,4.19,5.56,4,0.4,5,0.18,13,0.54,27.78,18.0,Defensive Midfield,Anchor Man,68.125,47.20588235294117,18.38235294117647,21.091790632460928,21.091790632460928,27,0.015567765567765568,0.8421052631578947,3.7826524022700667,26
408,premier-league,Sunderland AFC,Granit Xhaka,33,10000000.0,28,2362,26,1,0.04,6,0.23,1.85,0.07,1.85,27,9,45,1.72,23,0.88,75,2.86,17,0.65,13,0.5,0,0.0,211,8.04,130,4.96,48,1.83,5,0.19,6.59,0.25,1380,52.6,1142,43.53,0.8275,28,1.07,78,2.97,19,0.72,0.2435999999999999,18,0.69,5,0.19,0.2778,12,0.46,0,0.0,5,0,5,0.19,21,0.8,35,1.33,8294000.0,67,4.1,0.0,4,0.72,0,0.0,4,0.54,9.09,0.0,Defensive Midfield,Anchor Man,63.01470588235294,56.65441176470589,42.27941176470589,21.813617535796244,21.813617535796244,26,0.08424908424908426,0.7894736842105263,3.496671324113187,27
37,premier-league,Arsenal FC,Martín Zubimendi,27,80000000.0,32,2681,31,5,0.17,6,0.2,4.93,0.17,4.93,18,15,56,1.88,36,1.21,65,2.18,6,0.2,16,0.54,0,0.0,214,7.18,127,4.26,55,1.85,1,0.03,4.12,0.14,1723,57.84,1514,50.82,0.8787,17,0.57,12,0.4,4,0.13,0.3333,11,0.37,6,0.2,0.5455,13,0.44,0,0.0,4,0,4,0.13,28,0.94,12,0.4,5655000.0,106,4.1,0.0,11,0.75,0,0.0,10,0.54,0.0,11.0,Defensive Midfield,Deep Lying Playmaker,50.0735294117647,67.72058823529412,37.86764705882353,29.315132168000748,29.315132168000748,21,0.7252747252747253,0.47368421052631576,0.0,28
175,premier-league,Newcastle United,Sandro Tonali,25,80000000.0,30,2136,26,0,0.0,2,0.08,2.3,0.1,2.3,29,7,30,1.26,24,1.01,30,1.26,7,0.29,16,0.67,0,0.0,167,7.03,93,3.91,11,0.46,2,0.08,4.55,0.19,1290,54.3,1088,45.8,0.8434,27,1.14,87,3.66,18,0.76,0.2069,27,1.14,17,0.72,0.6296,17,0.72,1,0.04,3,0,3,0.13,19,0.8,38,1.6,11460800.0,67,3.19,0.0,11,0.75,0,0.0,10,0.47,9.09,0.0,Defensive Midfield,Deep Lying Playmaker,39.48529411764706,62.94117647058823,15.441176470588236,19.943043811171798,19.943043811171798,28,0.7252747252747253,0.3684210526315789,0.0,28
334,premier-league,Brentford FC,Jordan Henderson,35,2000000.0,29,1825,21,1,0.05,4,0.2,0.96,0.05,0.96,24,7,26,1.28,17,0.84,36,1.78,7,0.35,7,0.35,0,0.0,92,4.54,45,2.22,10,0.49,3,0.15,4.07,0.2,1070,52.83,829,40.93,0.7748,18,0.89,44,2.17,16,0.79,0.3636,8,0.39,3,0.15,0.375,7,0.35,1,0.05,4,0,4,0.2,13,0.64,7,0.35,5655000.0,67,4.19,0.0,0,0.75,0,0.0,15,0.54,0.0,0.0,Defensive Midfield,Deep Lying Playmaker / Anchor Man,41.28676470588235,41.69117647058823,8.823529411764705,6.921969003769867,6.921969003769867,30,0.01098901098901099,0.8947368421052632,0.0,28
