Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Position,Tactical_Role,Ball Winning Midfielder_Score,Mezzala_Score,Performance_Score_Raw,Performance_Score,Rank,Value_Norm,Age_Norm,Value_Score,Value_Rank
672,la-liga,Real Sociedad,Carlos Soler,29,8000000.0,26,1791,20,4,0.2,7,0.35,4.97,0.25,4.97,24,3,29,1.46,12,0.6,25,1.26,9,0.45,12,0.6,0,0.0,129,6.48,65,3.27,9,0.45,3,0.15,5.08,0.26,913,45.88,803,40.35,0.8795000000000001,40,2.01,57,2.86,21,1.06,0.3684,15,0.75,11,0.55,0.7333,13,0.65,0,0.0,3,1,4,0.2,26,1.31,16,0.8,5200000.0,85,4.19,3,0.38,1,0.06,2,0.72,33.33,Central Midfield,Mezzala,24.80434782608696,77.04347826086956,44.94350899443358,44.94350899443358,13,0.05016722408026756,0.6428571428571429,30.58134941488269,13
779,la-liga,Girona FC,Iván Martín,27,6000000.0,29,2100,24,0,0.0,1,0.04,0.86,0.04,0.86,24,6,53,2.27,14,0.6,25,1.07,4,0.17,11,0.47,0,0.0,218,9.34,120,5.14,18,0.77,1,0.04,3.25,0.14,1150,49.29,1022,43.8,0.8887,18,0.77,12,0.51,2,0.09,0.1667,37,1.59,22,0.94,0.5946,29,1.24,2,0.09,5,1,5,0.21,26,1.11,28,1.2,2875000.0,67,3.19,3,0.38,5,0.0,18,0.72,21.74,Central Midfield,Ball Winning Midfielder,53.28260869565218,37.869565217391305,41.43980491640685,41.43980491640685,18,0.03678929765886288,0.5,30.336125986640965,14
984,la-liga,Deportivo Alavés,Carles Aleñá,28,3500000.0,31,1885,22,0,0.0,4,0.19,1.62,0.08,1.62,27,3,35,1.67,12,0.57,22,1.05,3,0.14,22,1.05,0,0.0,213,10.17,92,4.39,14,0.67,4,0.19,4.99,0.24,796,38.01,676,32.28,0.8492000000000001,33,1.58,108,5.16,30,1.43,0.2778,26,1.24,11,0.53,0.4231,32,1.53,0,0.0,4,0,4,0.19,36,1.72,33,1.58,1260000.0,85,4.19,23,0.38,5,0.0,3,0.38,21.74,Central Midfield,Mezzala,31.82608695652174,59.43478260869565,40.113638569101354,40.113638569101354,20,0.020066889632107024,0.5714285714285714,28.08306045156672,15
311,premier-league,Brighton & Hove Albion,Diego Gómez,23,25000000.0,29,2033,24,5,0.22,6,0.27,5.94,0.26,5.94,23,7,76,3.36,17,0.75,28,1.24,3,0.13,24,1.06,1,0.04,302,13.36,153,6.77,50,2.21,1,0.04,2.38,0.11,704,31.14,557,24.63,0.7912,21,0.93,22,0.97,6,0.27,0.2727,38,1.68,18,0.8,0.4736999999999999,25,1.11,1,0.04,9,0,9,0.4,47,2.08,10,0.44,1300000.0,85,3.19,3,0.38,5,0.0,18,0.72,0.0,Central Midfield,Ball Winning Midfielder,73.30434782608695,51.06521739130435,35.69171252968678,35.69171252968678,24,0.16387959866220736,0.21428571428571427,26.489610284106277,16
906,la-liga,RCD Mallorca,Sergi Darder,32,3500000.0,31,2104,23,1,0.04,5,0.21,3.0,0.13,3.0,32,4,21,0.9,18,0.77,13,0.56,7,0.3,12,0.51,0,0.0,155,6.63,84,3.59,6,0.26,4,0.17,5.36,0.23,844,36.12,709,30.34,0.84,48,2.05,140,5.99,48,2.05,0.3429,57,2.44,32,1.37,0.5614,16,0.68,2,0.09,3,0,3,0.13,17,0.73,25,1.07,3375000.0,83,4.19,23,0.92,1,0.06,18,0.12,21.74,Central Midfield,Mezzala,24.32608695652174,76.08695652173914,43.448281676176755,43.448281676176755,14,0.020066889632107024,0.8571428571428571,25.703417844356405,17
361,premier-league,Everton FC,Kiernan Dewsbury-Hall,27,32000000.0,25,2103,24,7,0.3,10,0.43,6.72,0.29,6.72,26,8,42,1.8,10,0.43,26,1.11,3,0.13,10,0.43,1,0.04,222,9.51,118,5.05,14,0.6,3,0.13,4.45,0.19,826,35.37,689,29.5,0.8341,29,1.24,96,4.11,16,0.69,0.1667,39,1.67,23,0.98,0.5897,37,1.58,1,0.04,6,0,6,0.26,26,1.11,40,1.71,6786000.0,85,4.19,3,0.92,5,0.06,2,0.12,0.0,Central Midfield,Mezzala,39.30434782608696,70.67391304347827,41.73973801064625,41.73973801064625,15,0.21070234113712374,0.5,25.418667776532537,18
593,la-liga,Atlético de Madrid,Koke,34,6000000.0,28,1770,19,2,0.1,4,0.2,2.03,0.1,2.03,20,12,41,2.08,17,0.86,22,1.12,2,0.1,21,1.07,0,0.0,148,7.52,73,3.71,13,0.66,2,0.1,5.58,0.28,1557,79.12,1434,72.87,0.921,29,1.47,29,1.47,8,0.41,0.2759,9,0.46,5,0.25,0.5556,18,0.91,0,0.0,5,0,5,0.25,19,0.97,15,0.76,6670000.0,83,4.19,3,0.19,5,0.0,18,0.72,0.0,Central Midfield,Mezzala,46.93478260869565,58.82608695652174,45.7701615131943,45.7701615131943,11,0.03678929765886288,1.0,24.66648258342842,19
647,la-liga,Athletic Bilbao,Iñigo Ruiz de Galarreta,32,2500000.0,28,1836,25,1,0.05,2,0.1,1.55,0.08,1.55,28,4,49,2.4,16,0.78,16,0.78,4,0.2,20,0.98,0,0.0,245,12.0,132,6.47,22,1.08,1,0.05,3.13,0.15,1036,50.76,860,42.13,0.8301000000000001,22,1.08,45,2.2,11,0.54,0.2444,39,1.91,30,1.47,0.7692,22,1.08,0,0.0,10,0,10,0.49,46,2.25,33,1.62,1825000.0,67,3.4,3,0.92,5,0.2,3,0.12,21.74,Central Midfield,Ball Winning Midfielder,65.34782608695652,51.15217391304348,41.67845339127928,41.67845339127928,17,0.013377926421404682,0.8571428571428571,24.134258455779996,20
411,premier-league,Sunderland AFC,Enzo Le Fée,26,25000000.0,30,2396,27,4,0.15,8,0.3,4.07,0.15,1.27,30,9,70,2.63,27,1.01,32,1.2,12,0.45,29,1.09,0,0.0,268,10.07,122,4.58,17,0.64,4,0.15,5.51,0.21,889,33.39,724,27.2,0.8144,38,1.43,74,2.78,20,0.75,0.2703,34,1.28,11,0.41,0.3235,25,0.94,3,0.11,5,0,5,0.19,26,0.98,27,1.01,5655000.0,83,3.4,3,0.38,1,0.06,18,0.12,21.74,Central Midfield,Ball Winning Midfielder / Mezzala,66.06521739130436,61.23913043478261,37.0319184729178,37.0319184729178,22,0.16387959866220736,0.42857142857142855,23.544101941623012,21
1009,la-liga,Real Oviedo,Alberto Reina,28,2000000.0,30,1866,24,4,0.19,5,0.24,3.97,0.19,3.97,29,9,34,1.63,10,0.48,12,0.58,4,0.19,14,0.67,1,0.05,183,8.79,93,4.47,15,0.72,1,0.05,2.93,0.14,769,36.93,649,31.17,0.8440000000000001,27,1.3,34,1.63,12,0.58,0.3529,23,1.1,12,0.58,0.5217,20,0.96,2,0.1,6,1,6,0.29,28,1.34,34,1.63,1040000.0,67,3.19,3,0.92,5,0.2,2,0.12,0.0,Central Midfield,Mezzala,30.695652173913047,54.7608695652174,34.80999459240552,34.80999459240552,27,0.010033444816053512,0.5714285714285714,23.08041981935249,22
