Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Wing Back_Score,Inverted Full Back_Score,Defensive Full Back_Score,FullBack_Type,Performance_Score_Raw,Performance_Score,Rank,Value_Norm,Age_Norm,Value_Score,Value_Rank
459,premier-league,Leeds United,Jayden Bogle,25,12000000.0,29,2411,27,1,0.04,2,0.07,1.83,0.07,1.83,36,6,56,2.09,28,1.05,62,2.31,5,0.19,19,0.71,0,0.0,250,9.33,114,4.26,22,0.82,1,0.04,3.04,0.11,752,28.07,580,21.65,0.7713,15,0.56,55,2.05,13,0.49,0.2364,50,1.87,16,0.6,0.32,27,1.01,9,0.34,6,0,6,0.22,32,1.19,24,0.9,2262000.0,85,4.1,5.88,17,0.63,5,0.19,12,0.45,29.41,17.0,Right-Back,Defensive Full Back,44.03448275862069,28.58620689655173,51.94827586206896,Right-Back,30.799426439014226,30.799426439014226,47,0.15942028985507245,0.35294117647058826,18.95799421395029,33
149,premier-league,Manchester United,Diogo Dalot,27,30000000.0,29,2236,25,1,0.04,4,0.16,2.2,0.09,2.2,31,5,39,1.57,24,0.97,74,2.98,9,0.36,17,0.68,0,0.0,185,7.45,104,4.19,41,1.65,3,0.12,4.41,0.18,976,39.28,828,33.33,0.8484,28,1.13,51,2.05,16,0.64,0.3137,24,0.97,14,0.56,0.5832999999999999,17,0.68,4,0.16,5,0,5,0.2,22,0.89,13,0.52,6032000.0,75,4.19,4.76,21,0.85,6,0.24,15,0.6,28.57,21.0,Right-Back,Wing Back,65.86206896551722,54.27586206896553,47.96551724137931,Right-Back,40.54563254228713,40.54563254228713,26,0.42028985507246375,0.47058823529411764,18.52517218423086,34
722,la-liga,Celta de Vigo,Sergio Carreira,25,8000000.0,27,2130,23,2,0.08,3,0.13,2.16,0.09,2.16,30,7,27,1.14,24,1.01,50,2.11,1,0.04,12,0.51,1,0.04,159,6.72,87,3.67,10,0.42,1,0.04,3.35,0.14,1243,52.5,1066,45.02,0.8576,16,0.68,28,1.18,5,0.21,0.1785999999999999,42,1.77,20,0.84,0.4761999999999999,10,0.42,3,0.13,2,0,2,0.08,16,0.68,31,1.31,1700000.0,83,4.19,16.67,12,0.51,5,0.21,7,0.3,41.67,6.0,Right-Back,Inverted Full Back,46.70689655172414,61.91379310344828,35.43103448275862,Right-Back,27.798124644385265,27.798124644385265,49,0.10144927536231885,0.35294117647058826,17.695822854103934,35
774,la-liga,Girona FC,Álex Moreno,32,3500000.0,25,2046,22,0,0.0,3,0.13,1.24,0.05,1.24,25,6,29,1.28,23,1.01,78,3.43,11,0.48,25,1.1,1,0.04,184,8.09,90,3.96,17,0.75,3,0.13,3.68,0.16,849,37.35,708,31.14,0.8339,12,0.53,50,2.2,6,0.26,0.12,58,2.55,30,1.32,0.5172,9,0.4,9,0.4,4,0,4,0.18,23,1.01,15,0.66,3650000.0,67,4.1,0.0,16,0.7,4,0.18,12,0.53,25.0,0.0,Left-Back,Wing Back,54.01724137931034,46.22413793103448,48.39655172413793,Left-Back,33.494756137040724,33.494756137040724,39,0.036231884057971016,0.7647058823529411,17.11368196824277,36
433,premier-league,West Ham United,El Hadji Malick Diouf,21,28000000.0,26,2187,24,0,0.0,5,0.21,0.94,0.04,0.94,36,5,32,1.32,27,1.11,99,4.08,11,0.45,11,0.45,1,0.04,200,8.23,103,4.24,39,1.61,5,0.21,4.77,0.2,789,32.48,586,24.13,0.7426999999999999,17,0.7,77,3.17,17,0.7,0.2208,33,1.36,15,0.62,0.4545,18,0.74,2,0.08,4,0,4,0.16,22,0.91,19,0.78,2184000.0,85,3.4,17.24,18,1.42,0,0.0,0,0.49,0.0,17.0,Left-Back,Wing Back,65.70689655172413,27.72413793103448,55.00000000000001,Left-Back,31.20554976489972,31.20554976489972,45,0.391304347826087,0.11764705882352941,17.113478153646525,37
12,premier-league,Manchester City,Matheus Nunes,27,45000000.0,28,2356,26,1,0.04,5,0.19,1.1,0.04,1.1,21,12,48,1.83,26,0.99,81,3.09,6,0.23,17,0.65,1,0.04,208,7.95,124,4.74,31,1.18,4,0.15,6.45,0.25,1754,67.0,1565,59.78,0.8922,23,0.88,55,2.1,18,0.69,0.3273,42,1.6,22,0.84,0.5238,17,0.65,4,0.15,4,0,4,0.15,13,0.5,27,1.03,9802000.0,75,4.19,0.0,5,0.0,3,0.0,4,0.66,0.0,0.0,Right-Back,Inverted Full Back,73.8103448275862,79.62068965517241,52.689655172413794,Right-Back,44.86766427507292,44.86766427507292,11,0.6376811594202898,0.47058823529411764,16.32546478658187,38
380,premier-league,Fulham FC,Ryan Sessegnon,25,20000000.0,25,1659,18,2,0.11,4,0.22,2.05,0.11,2.05,26,4,44,2.39,20,1.08,63,3.42,8,0.43,12,0.65,2,0.11,169,9.17,71,3.85,18,0.98,2,0.11,2.09,0.11,626,33.96,480,26.04,0.7668,12,0.65,47,2.55,5,0.27,0.1064,23,1.25,6,0.33,0.2609,19,1.03,3,0.16,0,0,0,0.0,31,1.68,3,0.16,3393000.0,67,4.19,0.0,5,0.51,0,0.16,0,0.49,0.0,0.0,Left-Back,Defensive Full Back,32.75862068965517,28.89655172413793,70.0,Left-Back,31.013721205694722,31.013721205694722,46,0.2753623188405797,0.35294117647058826,15.694028111065567,39
928,la-liga,Levante UD,Jeremy Toljan,31,2200000.0,29,2520,29,1,0.04,4,0.14,1.12,0.04,1.12,40,5,54,1.93,25,0.89,78,2.79,14,0.5,15,0.54,1,0.04,166,5.93,82,2.93,12,0.43,3,0.11,4.01,0.14,853,30.46,652,23.29,0.7644,23,0.82,54,1.93,23,0.82,0.4259,17,0.61,1,0.04,0.0588,7,0.25,2,0.07,7,0,7,0.25,25,0.89,15,0.54,2075000.0,75,2.34,11.11,9,0.32,1,0.04,8,0.29,11.11,9.0,Right-Back,Defensive Full Back / Wing Back,49.72413793103448,20.879310344827584,50.62068965517241,Right-Back,30.201460464986056,30.201460464986056,48,0.017391304347826087,0.7058823529411765,15.562074275727744,40
407,premier-league,Sunderland AFC,Nordi Mukiele,28,18000000.0,26,2247,26,3,0.12,7,0.28,2.39,0.1,2.39,27,8,59,2.36,30,1.2,122,4.89,9,0.36,10,0.4,0,0.0,240,9.61,143,5.73,63,2.52,4,0.16,4.04,0.16,904,36.21,702,28.12,0.7765000000000001,19,0.76,64,2.56,11,0.44,0.1719,18,0.72,6,0.24,0.3333,12,0.48,2,0.08,4,0,4,0.16,24,0.96,21,0.84,7540000.0,83,2.34,10.0,20,0.8,3,0.12,17,0.68,15.0,10.0,Right-Back,Defensive Full Back,44.20689655172414,45.01724137931035,77.36206896551724,Right-Back,33.523709088903864,33.523709088903864,38,0.2463768115942029,0.5294117647058824,15.544169446960131,41
638,la-liga,Athletic Bilbao,Yuri Berchiche,36,1200000.0,27,2294,26,0,0.0,4,0.16,1.33,0.05,1.33,28,5,35,1.37,29,1.14,95,3.73,2,0.08,9,0.35,2,0.08,203,7.96,121,4.75,52,2.04,4,0.16,5.4,0.21,1238,48.57,1078,42.29,0.8708,26,1.02,57,2.24,11,0.43,0.193,17,0.67,7,0.27,0.4118,16,0.63,3,0.12,4,0,4,0.16,23,0.9,29,1.14,5350000.0,85,4.19,0.0,18,0.71,4,0.16,14,0.55,22.22,0.0,Left-Back,Inverted Full Back,55.31034482758621,73.43103448275863,56.396551724137936,Left-Back,35.51740960005433,35.51740960005433,34,0.002898550724637681,1.0,15.430453078315196,42
121,premier-league,Tottenham Hotspur,Pedro Porro,26,40000000.0,28,2259,26,0,0.0,2,0.08,1.64,0.07,1.64,32,7,53,2.11,19,0.76,80,3.19,9,0.36,35,1.39,0,0.0,212,8.45,105,4.18,18,0.72,2,0.08,4.37,0.17,1183,47.13,871,34.7,0.7363,41,1.63,190,7.57,44,1.75,0.2316,29,1.16,13,0.52,0.4483,11,0.44,1,0.04,7,0,7,0.28,27,1.08,22,0.88,5049850.0,67,2.34,0.0,23,0.92,5,0.2,18,0.72,21.74,0.0,Right-Back,Wing Back,75.37931034482759,31.74137931034483,52.87931034482759,Right-Back,40.58266091323599,40.58266091323599,24,0.5652173913043478,0.4117647058823529,15.390845056458499,43
482,premier-league,Wolverhampton Wanderers,Hugo Bueno,23,12000000.0,23,2013,22,2,0.09,3,0.13,1.85,0.08,1.85,33,4,40,1.79,21,0.94,89,3.98,14,0.63,9,0.4,0,0.0,153,6.84,85,3.8,36,1.61,1,0.04,2.27,0.1,883,39.48,772,34.52,0.8743000000000001,7,0.31,5,0.22,2,0.09,0.4,1,0.04,0,0.0,0.0,4,0.18,1,0.04,4,0,4,0.18,21,0.94,9,0.4,3016000.0,85,4.19,33.33,6,0.27,5,0.22,1,0.04,83.33,3.0,Left-Back,Inverted Full Back / Defensive Full Back,15.620689655172413,60.48275862068966,55.86206896551724,Left-Back,24.342376547827016,24.342376547827016,54,0.15942028985507245,0.23529411764705882,14.853885499233666,44
562,la-liga,FC Barcelona,Alejandro Balde,22,55000000.0,22,1585,19,0,0.0,2,0.11,0.54,0.03,0.54,17,7,31,1.76,6,0.34,23,1.31,9,0.51,5,0.28,1,0.06,138,7.84,80,4.54,9,0.51,2,0.11,3.73,0.21,1006,57.12,925,52.52,0.9195,20,1.14,23,1.31,5,0.28,0.2173999999999999,31,1.76,19,1.08,0.6129,21,1.19,4,0.23,2,0,2,0.11,14,0.79,22,1.25,2090000.0,67,4.19,0.0,8,0.45,1,0.06,7,0.4,12.5,0.0,Left-Back,Inverted Full Back / Wing Back,68.17241379310344,71.67241379310344,23.655172413793103,Left-Back,41.75387866021271,41.75387866021271,19,0.782608695652174,0.17647058823529413,14.746206025941612,45
404,premier-league,Sunderland AFC,Reinildo Mandava,32,5000000.0,19,1519,18,0,0.0,1,0.06,0.18,0.01,0.18,18,5,31,1.84,25,1.48,59,3.49,12,0.71,8,0.47,1,0.06,174,10.3,97,5.74,26,1.54,1,0.06,1.7,0.1,604,35.76,518,30.67,0.8576,4,0.24,18,1.07,3,0.18,0.1667,25,1.48,13,0.77,0.52,11,0.65,1,0.06,8,1,9,0.53,28,1.66,30,1.78,3770000.0,123,4.0,0.0,4,0.24,0,0.0,4,0.24,0.0,0.0,Left-Back,Defensive Full Back / Inverted Full Back,32.258620689655174,68.60344827586206,68.89655172413794,Left-Back,31.64617329366041,31.64617329366041,44,0.057971014492753624,0.7647058823529411,14.612925211818979,46
564,la-liga,FC Barcelona,Jules Koundé,27,65000000.0,26,1929,20,1,0.05,4,0.19,1.44,0.07,1.44,17,10,42,1.96,27,1.26,50,2.33,10,0.47,20,0.93,1,0.05,207,9.66,114,5.32,33,1.54,3,0.14,5.73,0.27,1620,75.58,1475,68.82,0.9105,19,0.89,32,1.49,10,0.47,0.3125,33,1.54,19,0.89,0.5758,24,1.12,2,0.09,4,0,4,0.19,19,0.89,22,1.03,19537500.0,67,4.19,8.33,12,0.56,3,0.14,9,0.42,25.0,12.0,Right-Back,Inverted Full Back,71.06896551724137,87.48275862068965,58.10344827586207,Right-Back,51.46246573932693,51.46246573932693,6,0.927536231884058,0.47058823529411764,14.224614076922839,47
249,premier-league,Crystal Palace,Tyrick Mitchell,26,25000000.0,31,2760,31,1,0.03,3,0.1,1.72,0.06,1.72,34,11,85,2.77,28,0.91,83,2.71,8,0.26,15,0.49,0,0.0,256,8.35,138,4.5,18,0.59,2,0.07,3.74,0.12,912,29.74,665,21.68,0.7292000000000001,24,0.78,86,2.8,18,0.59,0.2092999999999999,35,1.14,14,0.46,0.4,25,0.82,6,0.2,5,0,5,0.16,25,0.82,22,0.72,3016000.0,75,4.19,7.69,13,0.42,5,0.16,8,0.26,38.46,13.0,Left-Back,Defensive Full Back,49.03448275862069,23.27586206896552,64.3448275862069,Left-Back,32.42967252763368,32.42967252763368,42,0.34782608695652173,0.4117647058823529,13.759595801290967,48
978,la-liga,Deportivo Alavés,Victor Parada,24,2000000.0,23,1597,18,0,0.0,3,0.17,0.68,0.04,0.68,26,2,22,1.24,6,0.34,58,3.27,8,0.45,9,0.51,1,0.06,139,7.83,69,3.89,28,1.58,3,0.17,3.24,0.18,600,33.81,482,27.16,0.8033,13,0.73,30,1.69,4,0.23,0.1333,11,0.62,7,0.39,0.6364,6,0.34,3,0.17,8,1,8,0.45,26,1.47,12,0.68,420000.0,83,3.19,0.0,9,0.51,2,0.11,7,0.39,22.22,0.0,Left-Back,Wing Back,46.98275862068965,29.8448275862069,31.1896551724138,Left-Back,20.076702228586264,20.076702228586264,57,0.014492753623188406,0.29411764705882354,13.75956667871414,49
62,premier-league,Chelsea FC,Marc Cucurella,27,50000000.0,28,2169,25,1,0.04,4,0.17,1.94,0.08,1.94,22,9,48,1.99,25,1.04,82,3.4,8,0.33,17,0.71,0,0.0,187,7.76,100,4.15,31,1.29,3,0.12,5.17,0.21,1242,51.54,1096,45.48,0.8824,33,1.37,27,1.12,10,0.41,0.3704,4,0.17,1,0.04,0.25,6,0.25,2,0.08,7,1,8,0.33,36,1.49,22,0.91,13195000.0,75,3.4,5.56,18,0.75,5,0.21,13,0.54,27.78,18.0,Left-Back,Inverted Full Back,53.655172413793096,71.13793103448276,60.86206896551724,Left-Back,43.81431836072627,43.81431836072627,13,0.7101449275362319,0.47058823529411764,13.098205828756958,50
225,premier-league,Aston Villa,Matty Cash,28,22000000.0,29,2538,29,3,0.11,5,0.18,4.05,0.14,4.05,27,8,52,1.84,22,0.78,73,2.59,11,0.39,23,0.82,0,0.0,217,7.7,116,4.11,29,1.03,2,0.07,4.15,0.15,1179,41.81,1006,35.67,0.8533,25,0.89,113,4.01,26,0.92,0.2301,18,0.64,12,0.43,0.6667000000000001,15,0.53,4,0.14,8,0,8,0.28,39,1.38,26,0.92,6032000.0,106,4.19,10.71,28,0.99,10,0.35,18,0.64,35.71,9.33,Right-Back,Wing Back / Inverted Full Back,60.310344827586206,57.068965517241374,43.79310344827586,Right-Back,32.738729129093976,32.738729129093976,41,0.30434782608695654,0.5294117647058824,13.020059052367634,51
612,la-liga,Villarreal CF,Pau Navarro,20,10000000.0,26,2286,26,1,0.04,1,0.04,1.25,0.05,1.25,23,10,32,1.26,27,1.06,100,3.94,11,0.43,12,0.47,0,0.0,160,6.3,93,3.66,54,2.13,0,0.0,4.25,0.17,2341,92.13,2212,87.05,0.9449,5,0.2,0,0.0,0,0.0,0.0,1,0.04,1,0.04,1.0,5,0.2,0,0.0,3,0,3,0.12,22,0.87,7,0.28,5000000.0,85,3.19,10.0,10,0.39,2,0.08,8,0.31,20.0,10.0,Right-Back,Inverted Full Back,26.86206896551724,76.96551724137932,51.62068965517241,Right-Back,13.800461148454222,13.800461148454222,59,0.13043478260869565,0.058823529411764705,8.710947081958059,52
119,premier-league,Tottenham Hotspur,Djed Spence,25,30000000.0,24,1813,21,0,0.0,0,0.0,1.0,0.05,1.0,25,7,37,1.84,11,0.55,50,2.48,3,0.15,7,0.35,0,0.0,204,10.13,95,4.72,20,0.99,0,0.0,1.79,0.09,804,39.91,652,32.37,0.8109000000000001,10,0.5,46,2.28,10,0.5,0.2173999999999999,56,2.78,22,1.09,0.3928999999999999,25,1.24,2,0.1,4,0,4,0.2,23,1.14,18,0.89,2376400.0,75,3.4,0.0,11,0.55,7,0.35,4,0.2,63.64,0.0,Left-Back,Wing Back / Inverted Full Back,45.896551724137936,42.75862068965517,36.48275862068965,Left-Back,27.656416245153302,27.656416245153302,50,0.42028985507246375,0.35294117647058826,7.988897063567625,53
1004,la-liga,Real Oviedo,Nacho Vidal,31,1600000.0,22,1765,21,0,0.0,0,0.0,0.88,0.04,0.88,21,8,37,1.89,22,1.12,67,3.42,7,0.36,17,0.87,0,0.0,159,8.11,88,4.49,16,0.82,0,0.0,1.28,0.07,673,34.32,545,27.79,0.8098000000000001,5,0.25,31,1.58,4,0.2,0.129,23,1.17,11,0.56,0.4783,6,0.31,1,0.05,4,0,4,0.2,22,1.12,25,1.27,1300000.0,67,4.19,0.0,10,0.51,3,0.15,7,0.36,30.0,0.0,Right-Back,Defensive Full Back,24.431034482758623,43.568965517241374,60.29310344827585,Right-Back,21.70338935384092,21.70338935384092,55,0.008695652173913044,0.7058823529411765,7.324872729799997,54
304,premier-league,Brighton & Hove Albion,Ferdi Kadıoğlu,26,30000000.0,31,2594,28,0,0.0,0,0.0,1.91,0.07,1.91,28,8,54,1.87,20,0.69,65,2.26,7,0.24,28,0.97,0,0.0,214,7.42,121,4.2,25,0.87,0,0.0,3.13,0.11,1102,38.23,947,32.86,0.8593000000000001,19,0.66,94,3.26,23,0.8,0.2447,20,0.69,11,0.38,0.55,15,0.52,6,0.21,6,0,6,0.21,16,0.56,33,1.14,5198375.0,75,2.34,0.0,22,0.76,9,0.31,13,0.45,40.91,0.0,Left-Back,Inverted Full Back,46.8448275862069,54.34482758620689,37.896551724137936,Left-Back,27.310302921837778,27.310302921837778,51,0.42028985507246375,0.4117647058823529,6.466313152016808,55
979,la-liga,Deportivo Alavés,Nahuel Tenaglia,30,3000000.0,29,2610,29,1,0.03,1,0.03,1.67,0.06,1.67,35,3,46,1.59,36,1.24,140,4.83,24,0.83,14,0.48,1,0.03,219,7.55,124,4.28,41,1.41,0,0.0,2.62,0.09,1167,40.24,1011,34.86,0.8663,6,0.21,17,0.59,3,0.1,0.1765,18,0.62,7,0.24,0.3889,8,0.28,3,0.1,2,0,2,0.07,24,0.83,32,1.1,940000.0,106,4.0,6.25,16,0.55,4,0.14,12,0.41,25.0,16.0,Right-Back,Inverted Full Back / Defensive Full Back,17.620689655172413,66.1896551724138,64.60344827586206,Right-Back,20.13910545448953,20.13910545448953,56,0.028985507246376812,0.6470588235294118,6.328363766509991,56
354,premier-league,Everton FC,Vitaliy Mykolenko,26,25000000.0,27,2421,27,1,0.04,2,0.07,0.58,0.02,0.58,33,9,36,1.34,25,0.93,121,4.5,9,0.33,23,0.86,0,0.0,206,7.66,105,3.9,38,1.41,1,0.04,2.83,0.11,955,35.5,758,28.18,0.7937000000000001,21,0.78,77,2.86,19,0.71,0.2468,26,0.97,10,0.37,0.3846,7,0.26,0,0.0,5,0,5,0.19,24,0.89,24,0.89,4373200.0,67,4.0,0.0,9,0.33,2,0.07,7,0.26,22.22,0.0,Left-Back,Defensive Full Back,46.41379310344828,35.65517241379311,52.82758620689655,Left-Back,24.761884772264597,24.761884772264597,53,0.34782608695652173,0.4117647058823529,6.091808045921887,57
405,premier-league,Sunderland AFC,Trai Hume,24,22000000.0,32,2593,29,0,0.0,1,0.03,1.82,0.06,1.82,33,10,62,2.15,22,0.76,83,2.88,10,0.35,25,0.87,1,0.03,279,9.68,154,5.35,59,2.05,1,0.03,2.71,0.09,861,29.88,631,21.9,0.7329000000000001,20,0.69,81,2.81,14,0.49,0.1728,13,0.45,2,0.07,0.1538,9,0.31,3,0.1,9,0,9,0.31,26,0.9,32,1.11,3393000.0,123,4.19,0.0,28,0.97,6,0.21,22,0.76,21.43,0.0,Right-Back,Defensive Full Back,30.379310344827587,26.17241379310345,52.75862068965517,Right-Back,19.936044713116495,19.936044713116495,58,0.30434782608695654,0.29411764705882354,4.923256989331328,58
35,premier-league,Arsenal FC,Jurriën Timber,24,70000000.0,30,2457,28,3,0.11,8,0.29,3.51,0.13,3.51,16,15,65,2.38,25,0.92,49,1.8,6,0.22,7,0.26,0,0.0,251,9.2,146,5.35,39,1.43,5,0.18,6.01,0.22,1087,39.83,925,33.9,0.851,27,0.99,46,1.69,6,0.22,0.1304,32,1.17,15,0.55,0.4688,24,0.88,0,0.0,5,0,5,0.18,38,1.39,29,1.06,7238400.0,67,4.19,12.0,25,0.92,7,0.26,18,0.66,28.0,8.33,Right-Back,Inverted Full Back / Wing Back,57.103448275862064,61.89655172413793,53.39655172413793,Right-Back,40.79470907407255,40.79470907407255,22,1.0,0.29411764705882354,4.912356132896079,59
