Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Wing Back_Score,Inverted Full Back_Score,Defensive Full Back_Score,FullBack_Type,Performance_Score_Raw,Performance_Score,Rank,Value_Norm,Age_Norm,Value_Score,Value_Rank
721,la-liga,Celta de Vigo,Óscar Mingueza,26,18000000.0,27,1691,19,1,0.05,5,0.27,1.68,0.09,1.68,21,6,37,1.97,8,0.43,27,1.44,6,0.32,28,1.49,0,0.0,158,8.41,83,4.42,12,0.64,4,0.21,5.07,0.27,1061,56.47,894,47.58,0.8426,26,1.38,59,3.14,8,0.43,0.1356,23,1.22,11,0.59,0.4783,13,0.69,0,0.0,4,0,4,0.21,14,0.75,24,1.28,1437500.0,75,3.19,7.14,14,0.75,5,0.27,9,0.48,35.71,14.0,Right-Back,Wing Back,68.01724137931033,55.55172413793103,32.34482758620689,Right-Back,42.92773767785568,42.92773767785568,16,0.2463768115942029,0.4117647058823529,27.301139212382537,13
666,la-liga,Real Sociedad,Jon Aramburu,23,15000000.0,29,2392,27,1,0.04,1,0.04,1.85,0.07,1.85,38,3,91,3.42,43,1.62,74,2.78,10,0.38,42,1.58,2,0.08,320,12.04,181,6.81,45,1.69,0,0.0,2.2,0.08,1116,41.99,901,33.9,0.8073,11,0.41,44,1.66,4,0.15,0.0909,20,0.75,9,0.34,0.45,11,0.41,2,0.08,9,0,9,0.34,59,2.22,40,1.51,2600000.0,75,4.0,5.56,18,0.68,5,0.19,13,0.49,27.78,18.0,Right-Back,Defensive Full Back,20.103448275862068,60.22413793103449,84.24137931034483,Right-Back,37.58028517298566,37.58028517298566,29,0.2028985507246377,0.23529411764705882,26.78744629830535,14
902,la-liga,RCD Mallorca,Pablo Maffeo,28,5000000.0,25,2136,24,2,0.08,3,0.13,1.01,0.04,1.01,29,4,52,2.19,30,1.26,83,3.5,20,0.84,14,0.59,0,0.0,197,8.3,121,5.1,26,1.1,1,0.04,2.12,0.09,729,30.72,553,23.3,0.7585999999999999,15,0.63,64,2.7,22,0.93,0.3438,46,1.94,29,1.22,0.6304,11,0.46,0,0.0,8,0,8,0.34,18,0.76,17,0.72,1825000.0,106,3.4,14.29,7,0.29,1,0.04,6,0.25,14.29,7.0,Right-Back,Defensive Full Back,57.41379310344827,35.06896551724138,73.29310344827587,Right-Back,38.90583876139771,38.90583876139771,27,0.057971014492753624,0.5294117647058824,26.578473032497456,15
776,la-liga,Girona FC,Hugo Rincón,23,3500000.0,28,1811,21,11,0.55,15,0.75,11.24,0.56,11.24,20,8,11,0.55,4,0.2,26,1.29,3,0.15,3,0.15,0,0.0,232,11.53,89,4.42,31,1.54,4,0.2,3.8,0.19,403,20.03,309,15.36,0.7667,21,1.04,7,0.35,1,0.05,0.1429,69,3.43,36,1.79,0.5217,25,1.24,11,0.55,0,0,0,0.0,35,1.74,12,0.6,15080000.0,85,4.1,33.33,0,0.75,3,0.18,3,0.18,20.0,0.0,Right-Back,Wing Back,61.6551724137931,18.74137931034483,11.224137931034484,Right-Back,31.901401964957465,31.901401964957465,43,0.036231884057971016,0.23529411764705882,26.10856309027716,16
926,la-liga,Levante UD,Manu Sánchez,25,6000000.0,26,2267,25,1,0.04,2,0.08,1.31,0.05,1.31,37,4,69,2.74,31,1.23,72,2.86,5,0.2,25,0.99,0,0.0,210,8.34,112,4.45,17,0.67,1,0.04,2.38,0.09,715,28.39,584,23.18,0.8168000000000001,15,0.6,63,2.5,13,0.52,0.2062999999999999,27,1.07,10,0.4,0.3704,9,0.36,2,0.08,8,0,8,0.32,29,1.15,16,0.64,1550000.0,67,3.4,10.0,10,0.4,3,0.12,7,0.28,30.0,10.0,Left-Back,Defensive Full Back,36.62068965517241,41.65517241379311,74.86206896551724,Left-Back,35.18949277256663,35.18949277256663,35,0.07246376811594203,0.35294117647058826,25.956756199676608,17
980,la-liga,Deportivo Alavés,Jonny Otto,32,2500000.0,30,2638,30,0,0.0,0,0.0,0.51,0.02,0.51,35,3,62,2.12,36,1.23,54,1.84,12,0.41,27,0.92,0,0.0,247,8.43,138,4.71,26,0.89,0,0.0,3.91,0.13,1553,52.98,1344,45.85,0.8654000000000001,16,0.55,22,0.75,8,0.27,0.3636,33,1.13,25,0.85,0.7576,29,0.99,1,0.03,5,0,5,0.17,31,1.06,27,0.92,1660000.0,85,4.1,0.0,7,0.24,2,0.07,5,0.17,28.57,0.0,Right-Back,Inverted Full Back,45.89655172413793,73.86206896551725,56.00000000000001,Right-Back,41.062388936478264,41.062388936478264,21,0.021739130434782608,0.7647058823529411,25.116097376375965,18
381,premier-league,Fulham FC,Kenny Tete,30,11000000.0,22,1796,21,1,0.05,1,0.05,1.72,0.09,1.72,23,6,61,3.06,27,1.35,66,3.31,6,0.3,13,0.65,0,0.0,205,10.27,121,6.06,22,1.1,0,0.0,2.19,0.11,873,43.75,740,37.08,0.8477,11,0.55,34,1.7,13,0.65,0.3824,20,1.0,8,0.4,0.4,15,0.75,1,0.05,2,0,2,0.1,27,1.35,31,1.55,4901000.0,67,2.34,6.25,16,0.8,3,0.15,13,0.65,18.75,16.0,Right-Back,Defensive Full Back,43.55172413793104,71.29310344827586,84.05172413793103,Right-Back,42.134881452245864,42.134881452245864,18,0.14492753623188406,0.6470588235294118,24.845878894701105,19
878,la-liga,CA Osasuna,Valentin Rosier,29,3000000.0,24,1936,23,1,0.05,2,0.09,1.39,0.06,1.39,24,5,37,1.72,34,1.58,62,2.88,2,0.09,16,0.74,0,0.0,166,7.72,84,3.9,15,0.7,1,0.05,2.29,0.11,795,36.96,644,29.94,0.8101,13,0.6,37,1.72,8,0.37,0.2162,33,1.53,19,0.88,0.5758,18,0.84,4,0.19,6,1,6,0.28,28,1.3,14,0.65,2350000.0,75,4.19,8.33,12,0.56,3,0.14,9,0.42,25.0,12.0,Right-Back,Defensive Full Back,45.75862068965517,46.22413793103448,62.293103448275865,Right-Back,37.330166894008755,37.330166894008755,31,0.028985507246376812,0.5882352941176471,24.69589579426451,20
828,la-liga,RCD Espanyol Barcelona,Omar El Hilali,22,15000000.0,29,2277,26,0,0.0,2,0.08,0.04,0.0,0.04,37,8,59,2.33,31,1.23,71,2.81,9,0.36,18,0.71,1,0.04,186,7.35,105,4.15,19,0.75,2,0.08,3.33,0.13,1029,40.67,842,33.28,0.8183,14,0.55,44,1.74,14,0.55,0.3182,10,0.4,8,0.32,0.8,4,0.16,1,0.04,7,0,7,0.28,34,1.34,21,0.83,1300000.0,67,4.0,0.0,1,0.04,0,0.0,1,0.04,0.0,0.0,Right-Back,Defensive Full Back,42.79310344827586,48.31034482758621,68.01724137931035,Right-Back,33.885372983721446,33.885372983721446,37,0.2028985507246377,0.17647058823529413,24.26900469727643,21
507,premier-league,Burnley FC,Quilindschy Hartman,24,18000000.0,18,1585,18,0,0.0,4,0.23,0.59,0.03,0.59,28,3,35,1.99,24,1.36,56,3.18,5,0.28,7,0.4,0,0.0,98,5.56,51,2.9,10,0.57,4,0.23,4.04,0.23,620,35.21,476,27.03,0.7676999999999999,19,1.08,72,4.09,10,0.57,0.1389,10,0.57,3,0.17,0.3,8,0.45,1,0.06,1,0,1,0.06,10,0.57,3,0.17,3393000.0,85,3.4,0.0,7,0.4,3,0.17,4,0.23,42.86,0.0,Left-Back,Defensive Full Back,60.241379310344826,29.72413793103448,68.20689655172414,Left-Back,37.336497312052224,37.336497312052224,30,0.2463768115942029,0.29411764705882354,24.062840023049667,22
