Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Shadow Striker_Score,Playmaker_Score,Performance_Score_Raw,Performance_Score,Rank
21,premier-league,Manchester City,Bernardo Silva,31,27000000.0,31,2337,27,2,0.08,6,0.23,2.55,0.1,2.55,22,13,35,1.35,17,0.65,29,1.12,6,0.23,19,0.73,0,0.0,194,7.47,73,2.81,4,0.15,4,0.15,7.16,0.28,1691,65.12,1525,58.73,0.9018,35,1.35,53,2.04,16,0.62,0.3019,39,1.5,15,0.58,0.3846,26,1.0,5,0.19,9,0,9,0.35,34,1.31,19,0.73,22620000.0,6.67,15,0.48,1,0.26,7,0.67,53.33,0.0,Attacking Midfield,Playmaker,46.38888888888889,70.00000000000001,36.768653184938465,36.768653184938465,13
467,premier-league,Leeds United,Brenden Aaronson,25,18000000.0,30,1991,24,4,0.18,7,0.32,5.31,0.24,5.31,25,6,46,2.07,12,0.54,11,0.49,4,0.18,26,1.17,1,0.04,318,14.31,130,5.85,19,0.85,3,0.14,3.55,0.16,531,23.89,421,18.95,0.7928000000000001,26,1.17,35,1.58,11,0.49,0.3143,69,3.11,23,1.03,0.3333,59,2.65,5,0.23,1,0,1,0.05,17,0.77,43,1.93,3393000.0,0.0,15,0.48,8,0.26,7,0.23,14.29,15.0,Attacking Midfield,Shadow Striker,66.48148148148148,29.629629629629623,36.632450450827896,36.632450450827896,14
884,la-liga,CA Osasuna,Aimar Oroz,24,9000000.0,24,1791,21,0,0.0,2,0.1,1.78,0.09,1.78,21,7,34,1.71,9,0.45,12,0.6,1,0.05,12,0.6,0,0.0,251,12.61,126,6.33,21,1.06,2,0.1,3.62,0.18,713,35.83,569,28.59,0.7979999999999999,32,1.61,23,1.16,8,0.4,0.3478,49,2.46,23,1.16,0.4694,40,2.01,1,0.05,5,0,5,0.25,24,1.21,50,2.51,2087500.0,6.67,15,0.48,8,0.26,6,0.67,14.29,0.0,Attacking Midfield,Playmaker,33.93518518518518,49.629629629629626,36.35618496121985,36.35618496121985,15
207,premier-league,Nottingham Forest,Morgan Gibbs-White,26,60000000.0,32,2733,31,9,0.3,11,0.36,10.66,0.35,9.96,39,8,17,0.56,10,0.33,31,1.02,2,0.07,20,0.66,0,0.0,278,9.15,111,3.65,35,1.15,2,0.07,4.57,0.15,1057,34.8,863,28.41,0.8165,44,1.45,34,1.12,8,0.26,0.2353,50,1.65,23,0.76,0.46,31,1.02,5,0.16,1,0,1,0.03,23,0.76,38,1.25,8294000.0,0.0,15,0.78,1,0.26,7,0.23,53.33,15.0,Attacking Midfield,Shadow Striker,82.63888888888889,43.333333333333336,35.90168092609333,35.90168092609333,16
387,premier-league,Fulham FC,Emile Smith Rowe,25,22000000.0,31,1511,16,3,0.18,3,0.18,4.05,0.24,4.05,22,5,26,1.55,21,1.25,14,0.83,1,0.06,4,0.24,0,0.0,109,6.49,51,3.04,5,0.3,0,0.0,2.3,0.14,737,43.9,670,39.91,0.9091,18,1.07,10,0.6,1,0.06,0.1,29,1.73,12,0.71,0.4138,25,1.49,2,0.12,1,0,1,0.06,4,0.24,9,0.54,5278000.0,6.67,15,0.48,1,0.11,7,0.67,53.33,15.0,Attacking Midfield,Shadow Striker,53.98148148148149,35.55555555555556,33.89084386036825,33.89084386036825,17
648,la-liga,Athletic Bilbao,Oihan Sancet,25,35000000.0,24,1641,21,3,0.16,3,0.16,4.98,0.27,3.58,23,3,17,0.93,2,0.11,9,0.49,2,0.11,4,0.22,0,0.0,166,9.1,69,3.78,15,0.82,0,0.0,1.6,0.09,545,29.89,443,24.3,0.8128,25,1.37,21,1.15,4,0.22,0.1905,26,1.43,15,0.82,0.5769,27,1.48,0,0.0,5,1,6,0.33,26,1.43,23,1.26,5200000.0,0.0,7,0.48,8,0.26,7,0.67,14.29,15.0,Attacking Midfield,Shadow Striker,64.9537037037037,26.29629629629629,29.912801928028863,29.912801928028863,18
388,premier-league,Fulham FC,Josh King,19,20000000.0,18,1519,18,3,0.18,5,0.3,2.18,0.13,2.18,27,3,33,1.95,24,1.42,33,1.95,11,0.65,11,0.65,1,0.06,120,7.11,67,3.97,16,0.95,2,0.12,3.39,0.2,858,50.8,722,42.75,0.8415,13,0.77,12,0.71,1,0.06,0.0833,6,0.36,2,0.12,0.3333,10,0.59,0,0.0,2,0,2,0.12,16,0.95,18,1.07,4147000.0,6.67,7,0.78,1,0.26,6,0.23,53.33,0.0,Attacking Midfield,Shadow Striker,56.11111111111112,42.96296296296296,21.22095871938996,21.22095871938996,19
260,premier-league,Crystal Palace,Daichi Kamada,29,12000000.0,21,1502,17,0,0.0,0,0.0,1.28,0.08,1.28,17,9,48,2.88,10,0.6,18,1.08,2,0.12,18,1.08,0,0.0,164,9.83,87,5.21,13,0.78,0,0.0,1.65,0.1,615,36.85,510,30.56,0.8293,14,0.84,29,1.74,6,0.36,0.2069,17,1.02,11,0.66,0.6470999999999999,15,0.9,1,0.06,2,0,2,0.12,26,1.56,20,1.2,9048000.0,6.67,7,0.48,1,0.26,6,0.67,53.33,0.0,Attacking Midfield,Shadow Striker,32.63888888888889,21.85185185185185,19.14550866652858,19.14550866652858,20
131,premier-league,Tottenham Hotspur,James Maddison,29,25000000.0,31,2790,31,1,0.03,2,0.06,2.09,0.07,2.09,35,11,41,1.32,26,0.84,209,6.74,44,1.42,12,0.39,1,0.03,283,9.13,197,6.35,124,4.0,1,0.03,3.19,0.1,1279,41.26,1026,33.1,0.8022,15,0.48,7,0.23,2,0.06,0.2857,8,0.26,5,0.16,0.625,1,0.03,2,0.06,5,0,5,0.16,23,0.74,31,1.0,9048000.0,6.67,15,0.48,8,0.26,7,0.23,53.33,15.0,Attacking Midfield,Shadow Striker,38.37962962962963,20.740740740740744,7.375445328687604,7.375445328687604,21
236,premier-league,Aston Villa,Emiliano Buendía,29,18000000.0,27,2386,27,0,0.0,0,0.0,0.0,0.0,0.0,28,8,0,0.0,0,0.0,27,1.02,0,0.0,0,0.0,0,0.0,26,0.98,25,0.94,13,0.49,0,0.0,1.6,0.06,987,37.23,722,27.23,0.7315,1,0.04,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,2,0.08,0,0.0,16,0.6,11310000.0,0.0,15,0.48,1,0.11,7,0.67,14.29,15.0,Attacking Midfield,Shadow Striker / Playmaker,15.27777777777778,10.740740740740742,0.0,0.0,22
