,League,Team,Name,Age,Position,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Goals at Home,Goals at Away,Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Cards Over 0.5,Cards Over 0.5 (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Saves,Saves (Per90),Save Percentage,Punches,Punches (Per90)
140,premier-league,Manchester United,Tom Heaton,39,Goalkeeper,150000.0,20,550,4,1,0.16,1,0.16,0,1,1.29,0.21,1.29,5,5,4,0.65,2,0.33,5,0.82,7,1.15,0,0.0,47,7.69,24,3.93,8,1.31,0,0.0,1.0,0.16,476,77.89,441,72.16,0.9265000000000001,5,0.82,6,0.98,2,0.33,0.3333,6,0.98,2,0.33,0.3333,2,0.33,0,0.0,3,0,3,0.49,3,0.15,8,1.31,10,1.64,2639000.0,,,,,
162,premier-league,Newcastle United,Aaron Ramsdale,27,Goalkeeper,12000000.0,11,913,10,0,0.0,0,0.0,0,0,0.0,0.0,0.0,10,1,0,0.0,0,0.0,10,0.99,0,0.0,0,0.0,8,0.79,6,0.59,5,0.49,0,0.0,0.47,0.05,365,35.98,247,24.35,0.6767,1,0.1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,2,0.2,2,0.18,0,0.0,1,0.1,9048000.0,23,2.27,0.6053000000000001,5,0.49
163,premier-league,Newcastle United,Nick Pope,33,Goalkeeper,7000000.0,22,1967,22,0,0.0,0,0.0,0,0,0.15,0.01,0.15,28,7,1,0.05,0,0.0,29,1.33,0,0.0,0,0.0,15,0.69,14,0.64,11,0.5,0,0.0,0.6,0.03,477,21.83,286,13.09,0.5996,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0,1,0.05,1,0.05,0,0.0,2,0.09,4524000.0,67,3.07,0.6768000000000001,9,0.41
165,premier-league,Newcastle United,John Ruddy,39,Goalkeeper,100000.0,25,1824,24,4,0.2,6,0.3,4,0,4.15,0.2,4.15,23,7,26,1.28,12,0.59,13,0.64,13,0.64,0,0.0,199,9.82,90,4.44,8,0.39,2,0.1,3.26,0.16,629,31.05,521,25.72,0.8283,27,1.33,66,3.26,16,0.79,0.24239999999999998,30,1.48,13,0.64,0.43329999999999996,39,1.93,0,0.0,4,0,4,0.2,4,0.16,27,1.33,43,2.12,9048000.0,,,,,
188,premier-league,Nottingham Forest,John Victor,30,Goalkeeper,7000000.0,25,1824,24,4,0.2,6,0.3,4,0,4.15,0.2,4.15,23,7,26,1.28,12,0.59,13,0.64,13,0.64,0,0.0,199,9.82,90,4.44,8,0.39,2,0.1,3.26,0.16,629,31.05,521,25.72,0.8283,27,1.33,66,3.26,16,0.79,0.24239999999999998,30,1.48,13,0.64,0.43329999999999996,39,1.93,0,0.0,4,0,4,0.2,4,0.16,27,1.33,43,2.12,9048000.0,,,,,
189,premier-league,Nottingham Forest,Stefan Ortega,33,Goalkeeper,5000000.0,3,270,3,0,0.0,0,0.0,0,0,0.0,0.0,0.0,3,1,0,0.0,0,0.0,1,0.33,0,0.0,0,0.0,1,0.33,1,0.33,1,0.33,0,0.0,0.09,0.03,69,23.0,47,15.67,0.6812,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,6786000.0,8,2.67,0.6667000000000001,1,0.33
190,premier-league,Nottingham Forest,Matz Sels,34,Goalkeeper,4000000.0,25,2128,24,0,0.0,0,0.0,0,0,0.0,0.0,0.0,31,6,1,0.04,0,0.0,22,0.93,1,0.04,0,0.0,11,0.47,9,0.38,5,0.21,0,0.0,0.76,0.03,636,26.9,360,15.23,0.5660000000000001,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,2,0.08,2,0.08,0,0.0,3,0.13,3016000.0,71,3.0,0.6893,12,0.51
191,premier-league,Nottingham Forest,Angus Gunn,30,Goalkeeper,1500000.0,1,44,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1,2.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01,0.02,19,38.86,6,12.27,0.31579999999999997,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2262000.0,0,0.0,0.0,1,2.05
217,premier-league,Aston Villa,Emiliano Martínez,33,Goalkeeper,15000000.0,27,2386,27,0,0.0,0,0.0,0,0,0.0,0.0,0.0,28,8,0,0.0,0,0.0,27,1.02,0,0.0,0,0.0,26,0.98,25,0.94,13,0.49,0,0.0,1.6,0.06,987,37.23,722,27.23,0.7315,1,0.04,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,2,0.08,2,0.07,0,0.0,16,0.6,11310000.0,77,2.9,0.7264,9,0.34
218,premier-league,Aston Villa,Marco Bizot,35,Goalkeeper,2500000.0,6,494,5,0,0.0,0,0.0,0,0,0.0,0.0,0.0,9,2,0,0.0,0,0.0,7,1.28,0,0.0,1,0.18,3,0.55,2,0.36,1,0.18,0,0.0,0.37,0.07,199,36.26,155,28.24,0.7789,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,2,0.36,2,0.33,1,0.18,1,0.18,3393000.0,17,3.1,0.6537999999999999,3,0.55
242,premier-league,Crystal Palace,Dean Henderson,29,Goalkeeper,28000000.0,30,2700,30,0,0.0,0,0.0,0,0,0.0,0.0,0.0,34,10,0,0.0,1,0.03,42,1.4,0,0.0,1,0.03,19,0.63,16,0.53,11,0.37,0,0.0,1.2,0.04,895,29.83,482,16.07,0.5385,1,0.03,0,0.0,0,0.0,0.0,1,0.03,1,0.03,1.0,0,0.0,0,0.0,3,0,3,0.1,3,0.1,1,0.03,5,0.17,7540000.0,87,2.9,0.7073,25,0.83
243,premier-league,Crystal Palace,Walter Benítez,33,Goalkeeper,5000000.0,1,90,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.04,0.04,26,26.0,17,17.0,0.6537999999999999,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2639000.0,3,3.0,1.0,1,1.0
298,premier-league,Brighton & Hove Albion,Tom McGill,26,Goalkeeper,500000.0,20,550,4,1,0.16,1,0.16,0,1,1.29,0.21,1.29,5,5,4,0.65,2,0.33,5,0.82,7,1.15,0,0.0,47,7.69,24,3.93,8,1.31,0,0.0,1.0,0.16,476,77.89,441,72.16,0.9265000000000001,5,0.82,6,0.98,2,0.33,0.3333,6,0.98,2,0.33,0.3333,2,0.33,0,0.0,3,0,3,0.49,3,0.15,8,1.31,10,1.64,2639000.0,,,,,
322,premier-league,Brentford FC,Caoimhín Kelleher,27,Goalkeeper,25000000.0,31,2790,31,0,0.0,0,0.0,0,0,0.0,0.0,0.0,37,8,0,0.0,1,0.03,40,1.29,1,0.03,2,0.06,18,0.58,13,0.42,4,0.13,0,0.0,1.7,0.05,1086,35.03,703,22.68,0.6473,3,0.1,0,0.0,0,0.0,0.0,2,0.06,2,0.06,1.0,0,0.0,0,0.0,1,0,1,0.03,1,0.03,2,0.06,6,0.19,4147000.0,84,2.71,0.672,26,0.84
348,premier-league,Everton FC,Jordan Pickford,32,Goalkeeper,15000000.0,32,2880,32,0,0.0,0,0.0,0,0,0.0,0.0,0.0,36,11,2,0.06,0,0.0,41,1.28,1,0.03,1,0.03,16,0.5,12,0.38,5,0.16,0,0.0,1.69,0.05,1184,37.0,730,22.81,0.6165999999999999,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0,3,0.09,3,0.09,1,0.03,6,0.19,11310000.0,86,2.69,0.6992,14,0.44
350,premier-league,Everton FC,Tom King,31,Goalkeeper,150000.0,20,550,4,1,0.16,1,0.16,0,1,1.29,0.21,1.29,5,5,4,0.65,2,0.33,5,0.82,7,1.15,0,0.0,47,7.69,24,3.93,8,1.31,0,0.0,1.0,0.16,476,77.89,441,72.16,0.9265000000000001,5,0.82,6,0.98,2,0.33,0.3333,6,0.98,2,0.33,0.3333,2,0.33,0,0.0,3,0,3,0.49,3,0.15,8,1.31,10,1.64,2639000.0,,,,,
373,premier-league,Fulham FC,Bernd Leno,34,Goalkeeper,8000000.0,32,2880,32,1,0.03,1,0.03,1,0,0.0,0.0,0.0,41,6,4,0.12,1,0.03,38,1.19,0,0.0,0,0.0,24,0.75,23,0.72,16,0.5,0,0.0,1.68,0.05,1183,36.97,898,28.06,0.7591,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0,3,0.09,3,0.09,0,0.0,5,0.16,9802000.0,80,2.5,0.6349,24,0.75
397,premier-league,Sunderland AFC,Robin Roefs,23,Goalkeeper,25000000.0,29,2610,29,0,0.0,0,0.0,0,0,0.0,0.0,0.0,33,9,0,0.0,0,0.0,32,1.1,2,0.07,0,0.0,31,1.07,29,1.0,20,0.69,0,0.0,1.4,0.05,1114,38.41,708,24.41,0.6355,4,0.14,0,0.0,0,0.0,0.0,1,0.03,1,0.03,1.0,0,0.0,0,0.0,3,0,3,0.1,3,0.1,0,0.0,11,0.38,2262000.0,92,3.17,0.7302,21,0.72
398,premier-league,Sunderland AFC,Melker Ellborg,22,Goalkeeper,3000000.0,3,270,3,0,0.0,0,0.0,0,0,0.0,0.0,0.0,2,1,0,0.0,0,0.0,6,2.0,0,0.0,0,0.0,2,0.67,2,0.67,0,0.0,0,0.0,0.12,0.04,99,33.0,48,16.0,0.48479999999999995,0,0.0,0,0.0,0,0.0,0.0,1,0.33,1,0.33,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1,0.33,7540000.0,10,3.33,0.8332999999999999,3,1.0
399,premier-league,Sunderland AFC,Simon Moore,35,Goalkeeper,100000.0,14,657,9,1,0.14,2,0.27,1,0,1.04,0.14,1.04,8,5,11,1.49,2,0.27,11,1.49,9,1.22,0,0.0,98,13.26,30,4.06,9,1.22,1,0.14,1.1,0.15,162,21.92,122,16.51,0.7531,7,0.95,27,3.65,5,0.68,0.1852,26,3.52,8,1.08,0.3077,12,1.62,4,0.54,2,0,2,0.27,2,0.14,18,2.44,3,0.41,5278000.0,,,,,
425,premier-league,West Ham United,Mads Hermansen,25,Goalkeeper,15000000.0,12,1080,12,0,0.0,0,0.0,0,0,0.0,0.0,0.0,18,5,0,0.0,0,0.0,16,1.33,0,0.0,0,0.0,8,0.67,8,0.67,7,0.58,0,0.0,0.57,0.05,398,33.17,251,20.92,0.6307,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,2,0.17,2673450.0,40,3.33,0.6667000000000001,10,0.83
426,premier-league,West Ham United,Alphonse Areola,33,Goalkeeper,5000000.0,20,1800,20,0,0.0,1,0.05,0,0,0.0,0.0,0.0,32,0,0,0.0,1,0.05,29,1.45,0,0.0,1,0.05,9,0.45,6,0.3,5,0.25,1,0.05,1.14,0.06,542,27.1,256,12.8,0.47229999999999994,1,0.05,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,1,0.05,1,0.05,7129200.0,76,3.8,0.6726000000000001,20,1.0
449,premier-league,Leeds United,Lucas Perri,28,Goalkeeper,13000000.0,16,1440,16,0,0.0,0,0.0,0,0,0.0,0.0,0.0,22,3,0,0.0,0,0.0,16,1.0,0,0.0,1,0.06,10,0.62,7,0.44,5,0.31,0,0.0,0.68,0.04,555,34.69,294,18.38,0.5297,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,2,0.13,2,0.12,1,0.06,3,0.19,2970500.0,38,2.38,0.5672,6,0.38
451,premier-league,Leeds United,Karl Darlow,35,Goalkeeper,200000.0,15,1350,15,0,0.0,0,0.0,0,0,0.0,0.0,0.0,17,3,0,0.0,0,0.0,19,1.27,0,0.0,0,0.0,10,0.67,10,0.67,5,0.33,0,0.0,0.68,0.05,582,38.8,327,21.8,0.5619,0,0.0,0,0.0,0,0.0,0.0,1,0.07,1,0.07,1.0,0,0.0,0,0.0,1,0,1,0.07,1,0.07,0,0.0,5,0.33,2262000.0,36,2.4,0.6545000000000001,8,0.53
452,premier-league,Leeds United,Alex Cairns,33,Goalkeeper,75000.0,1,12,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,37.5,2,15.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,2,15.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,2,15.0,3393000.0,,,,,
476,premier-league,Wolverhampton Wanderers,Sam Johnstone,33,Goalkeeper,3000000.0,12,1080,12,1,0.08,1,0.08,0,1,0.0,0.0,0.0,20,0,2,0.17,0,0.0,25,2.08,0,0.0,0,0.0,6,0.5,5,0.42,3,0.25,0,0.0,0.44,0.04,433,36.08,242,20.17,0.5589,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,3770000.0,39,3.25,0.619,16,1.33
477,premier-league,Wolverhampton Wanderers,Daniel Bentley,32,Goalkeeper,1000000.0,12,255,3,0,0.0,1,0.35,0,0,0.38,0.13,0.38,4,4,6,2.11,4,1.41,1,0.35,1,0.35,0,0.0,36,12.66,14,4.92,2,0.7,1,0.35,0.85,0.3,116,40.78,92,32.34,0.7931,2,0.7,12,4.22,1,0.35,0.0833,12,4.22,4,1.41,0.3333,6,2.11,0,0.0,0,0,0,0.0,0,0.0,6,2.11,2,0.7,1240000.0,,,,,
498,premier-league,Burnley FC,Max Weiß,21,Goalkeeper,4000000.0,21,1557,17,0,0.0,0,0.0,0,0,0.44,0.03,0.44,32,1,16,0.92,7,0.4,110,6.35,6,0.35,2,0.12,128,7.39,67,3.87,45,2.6,0,0.0,1.17,0.07,678,39.17,595,34.37,0.8776,4,0.23,3,0.17,1,0.06,0.3333,5,0.29,4,0.23,0.8,6,0.35,0,0.0,4,0,4,0.23,4,0.19,16,0.92,2,0.12,5941000.0,,,,,
499,premier-league,Burnley FC,Martin Dúbravka,37,Goalkeeper,750000.0,20,1077,13,1,0.08,6,0.5,1,0,2.23,0.19,2.23,8,9,17,1.42,7,0.58,6,0.5,7,0.58,0,0.0,74,6.18,35,2.92,2,0.17,5,0.42,5.12,0.43,630,52.65,536,44.79,0.8508,29,2.42,20,1.67,5,0.42,0.25,20,1.67,8,0.67,0.4,10,0.84,2,0.17,0,0,0,0.0,0,0.0,7,0.58,8,0.67,18096000.0,,,,,
527,la-liga,Real Madrid,Thibaut Courtois,33,Goalkeeper,18000000.0,28,2520,28,0,0.0,0,0.0,0,0,0.0,0.0,0.0,21,11,1,0.04,0,0.0,17,0.61,3,0.11,1,0.04,13,0.46,8,0.29,5,0.18,0,0.0,1.66,0.06,837,29.89,665,23.75,0.7945,1,0.04,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0,1,0.04,1,0.04,1,0.04,2,0.07,18750000.0,58,2.07,0.7073,4,0.14
528,la-liga,Real Madrid,Andriy Lunin,27,Goalkeeper,15000000.0,3,270,3,0,0.0,0,0.0,0,0,0.0,0.0,0.0,4,0,0,0.0,0,0.0,1,0.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.2,0.07,101,33.67,87,29.0,0.8614,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,1,1,2,0.67,0,0.0,0,0.0,0,0.0,5725000.0,6,2.0,0.5455,0,0.0
529,la-liga,Real Madrid,Fran González,20,Goalkeeper,3000000.0,21,1220,15,1,0.07,1,0.07,1,0,1.49,0.11,1.49,13,5,28,2.07,14,1.03,22,1.62,10,0.74,0,0.0,107,7.89,48,3.54,6,0.44,0,0.0,2.28,0.17,829,61.16,761,56.14,0.9179999999999999,9,0.66,7,0.52,2,0.15,0.2857,7,0.52,5,0.37,0.7143,17,1.25,0,0.0,3,0,3,0.22,3,0.14,18,1.33,9,0.66,3125000.0,,,,,
555,la-liga,FC Barcelona,Joan García,24,Goalkeeper,40000000.0,25,2250,25,0,0.0,0,0.0,0,0,0.0,0.0,0.0,17,12,4,0.16,0,0.0,34,1.36,0,0.0,0,0.0,19,0.76,17,0.68,7,0.28,0,0.0,1.54,0.06,729,29.16,655,26.2,0.8985,0,0.0,0,0.0,0,0.0,0.0,1,0.04,1,0.04,1.0,1,0.04,0,0.0,1,0,1,0.04,1,0.04,0,0.0,4,0.16,7812500.0,66,2.64,0.7765000000000001,5,0.2
556,la-liga,FC Barcelona,Wojciech Szczęsny,35,Goalkeeper,900000.0,6,540,6,0,0.0,0,0.0,0,0,0.0,0.0,0.0,9,0,0,0.0,0,0.0,8,1.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.31,0.05,183,30.5,151,25.17,0.8251000000000001,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,3750000.0,16,2.67,0.5926,3,0.5
557,la-liga,FC Barcelona,Diego Kochen,20,Goalkeeper,500000.0,5,193,2,0,0.0,0,0.0,0,0,0.0,0.0,0.0,3,1,2,0.93,1,0.46,12,5.57,1,0.46,0,0.0,26,12.06,14,6.49,11,5.1,0,0.0,0.19,0.09,109,50.57,96,44.54,0.8806999999999999,0,0.0,0,0.0,0,0.0,0.0,1,0.46,1,0.46,1.0,0,0.0,0,0.0,2,0,2,0.93,2,0.4,4,1.86,0,0.0,1485250.0,,,,,
579,la-liga,Atlético de Madrid,Jan Oblak,33,Goalkeeper,17000000.0,26,2340,26,0,0.0,0,0.0,0,0,0.0,0.0,0.0,24,10,0,0.0,0,0.0,19,0.73,2,0.08,0,0.0,10,0.38,7,0.27,4,0.15,0,0.0,1.21,0.05,767,29.5,567,21.81,0.7392,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,4,0.15,26037500.0,58,2.23,0.6988,9,0.35
580,la-liga,Atlético de Madrid,Juan Musso,31,Goalkeeper,3000000.0,5,450,5,0,0.0,0,0.0,0,0,0.0,0.0,0.0,7,2,0,0.0,0,0.0,3,0.6,0,0.0,0,0.0,2,0.4,2,0.4,1,0.2,0,0.0,0.22,0.04,125,25.0,102,20.4,0.816,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0,2,0.4,2,0.4,0,0.0,1,0.2,4162500.0,15,3.0,0.6818000000000001,1,0.2
602,la-liga,Villarreal CF,Luiz Júnior,25,Goalkeeper,12000000.0,17,823,11,1,0.11,1,0.11,1,0,1.34,0.15,1.34,13,3,21,2.3,11,1.2,9,0.99,4,0.44,1,0.11,77,8.43,48,5.26,10,1.09,0,0.0,1.9,0.21,565,61.86,503,55.07,0.8903,18,1.97,42,4.6,11,1.2,0.2619,12,1.31,5,0.55,0.4167,3,0.33,0,0.0,2,0,2,0.22,2,0.12,12,1.31,13,1.42,9048000.0,,,,,
603,la-liga,Villarreal CF,Diego Conde,27,Goalkeeper,4000000.0,29,2033,24,5,0.22,6,0.27,3,2,5.94,0.26,5.94,23,7,76,3.36,17,0.75,28,1.24,24,1.06,1,0.04,302,13.36,153,6.77,50,2.21,1,0.04,2.38,0.11,704,31.14,557,24.63,0.7912,21,0.93,22,0.97,6,0.27,0.2727,38,1.68,18,0.8,0.47369999999999995,25,1.11,1,0.04,9,0,9,0.4,9,0.31,47,2.08,10,0.44,1300000.0,,,,,
604,la-liga,Villarreal CF,Arnau Tenas,24,Goalkeeper,4000000.0,3,270,3,0,0.0,0,0.0,0,0,0.0,0.0,0.0,5,0,1,0.33,0,0.0,1,0.33,0,0.0,0,0.0,1,0.33,1,0.33,0,0.0,0,0.0,0.09,0.03,84,28.0,40,13.33,0.47619999999999996,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,1825000.0,6,2.0,0.5,1,0.33
630,la-liga,Athletic Bilbao,Unai Simón,28,Goalkeeper,25000000.0,16,817,11,0,0.0,0,0.0,0,0,0.0,0.0,0.0,15,3,23,2.53,4,0.44,14,1.54,16,1.76,0,0.0,109,11.99,49,5.39,13,1.43,0,0.0,1.07,0.12,416,45.77,342,37.63,0.8220999999999999,12,1.32,23,2.53,9,0.99,0.39130000000000004,8,0.88,5,0.55,0.625,4,0.44,0,0.0,4,1,5,0.55,3,0.19,25,2.75,8,0.88,1950000.0,,,,,
658,la-liga,Real Sociedad,Álex Remiro,31,Goalkeeper,14000000.0,31,2790,31,1,0.03,1,0.03,0,1,0.0,0.0,0.0,43,3,1,0.03,1,0.03,32,1.03,2,0.06,0,0.0,17,0.55,13,0.42,7,0.23,0,0.0,1.78,0.06,1143,36.87,814,26.26,0.7121999999999999,3,0.1,0,0.0,0,0.0,0.0,1,0.03,1,0.03,1.0,1,0.03,1,0.03,0,0,0,0.0,0,0.0,0,0.0,5,0.16,5200000.0,79,2.55,0.622,17,0.55
659,la-liga,Real Sociedad,Unai Marrero,24,Goalkeeper,600000.0,16,817,11,0,0.0,0,0.0,0,0,0.0,0.0,0.0,15,3,23,2.53,4,0.44,14,1.54,16,1.76,0,0.0,109,11.99,49,5.39,13,1.43,0,0.0,1.07,0.12,416,45.77,342,37.63,0.8220999999999999,12,1.32,23,2.53,9,0.99,0.39130000000000004,8,0.88,5,0.55,0.625,4,0.44,0,0.0,4,1,5,0.55,3,0.19,25,2.75,8,0.88,1950000.0,,,,,
683,la-liga,Real Betis Balompié,Álvaro Valles,28,Goalkeeper,6000000.0,22,1980,22,0,0.0,0,0.0,0,0,0.0,0.0,0.0,26,7,0,0.0,0,0.0,28,1.27,4,0.18,0,0.0,14,0.64,9,0.41,4,0.18,0,0.0,1.12,0.05,690,31.36,495,22.5,0.7173999999999999,0,0.0,0,0.0,0,0.0,0.0,1,0.05,1,0.05,1.0,0,0.0,0,0.0,1,0,1,0.05,1,0.05,0,0.0,3,0.14,2600000.0,65,2.95,0.7065,7,0.32
684,la-liga,Real Betis Balompié,Pau López,31,Goalkeeper,2500000.0,18,1479,16,1,0.06,1,0.06,0,1,0.39,0.02,0.39,15,5,20,1.21,11,0.67,55,3.34,9,0.55,0,0.0,90,5.46,50,3.03,22,1.34,0,0.0,1.98,0.12,1020,61.9,907,55.04,0.8892,1,0.06,4,0.24,0,0.0,0.0,7,0.42,4,0.24,0.5714,4,0.24,0,0.0,0,0,0,0.0,0,0.0,5,0.3,5,0.3,7540000.0,,,,,
685,la-liga,Real Betis Balompié,Adrián San Miguel,39,Goalkeeper,400000.0,15,626,5,0,0.0,1,0.14,0,0,0.49,0.08,0.49,6,2,8,1.31,2,0.33,4,0.65,8,1.31,0,0.0,69,11.27,22,3.59,3,0.49,1,0.14,1.1,0.18,148,24.17,98,16.01,0.6622,8,1.31,36,5.88,8,1.31,0.22219999999999998,8,1.31,4,0.65,0.5,8,1.31,7,1.14,4,2,4,0.58,2,0.13,10,1.63,9,1.47,1040000.0,,,,,
710,la-liga,Celta de Vigo,Ionuț Radu,28,Goalkeeper,8000000.0,31,2790,31,0,0.0,0,0.0,0,0,0.0,0.0,0.0,37,8,0,0.0,0,0.0,29,0.94,1,0.03,0,0.0,13,0.42,12,0.39,8,0.26,0,0.0,1.0,0.03,736,23.74,515,16.61,0.6997,1,0.03,0,0.0,0,0.0,0.0,1,0.03,1,0.03,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,7,0.23,1880000.0,89,2.87,0.6899,10,0.32
711,la-liga,Celta de Vigo,Iván Villar,28,Goalkeeper,900000.0,5,144,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,1,1,5,3.12,0,0.0,3,1.88,1,0.62,0,0.0,20,12.5,10,6.25,2,1.25,0,0.0,0.13,0.08,76,47.5,68,42.5,0.8946999999999999,0,0.0,1,0.62,0,0.0,0.0,1,0.62,0,0.0,0.0,4,2.5,0,0.0,1,0,1,0.63,1,0.2,2,1.25,3,1.88,3016000.0,,,,,
