Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Anchor Man_Score,Deep Lying Playmaker_Score,Ball Winning Midfielder_Score,Performance_Score,Rank,Value_Normalized,Age_Normalized,Value_Score,Value_Rank
668,la-liga,Real Sociedad,Jon Gorrotxategi,24,25000000.0,25,1913,22,1,0.05,4,0.19,1.22,0.06,1.22,31,2,40,1.88,29,1.36,37,1.74,12,0.56,23,1.08,0,0.0,191,8.99,93,4.38,25,1.18,3,0.14,4.18,0.2,1131,53.21,977,45.96,0.8637999999999999,15,0.71,6,0.28,0,0.0,0.0,12,0.56,8,0.38,0.6667000000000001,15,0.71,0,0.0,6,0,6,0.28,26,1.22,20,0.94,420000.0,75,4.19,9.09,11,0.52,1,0.05,10,0.47,9.09,11.0,Defensive Midfield,Anchor Man / Deep Lying Playmaker,63.639705882352935,60.44117647058823,40.80882352941176,27.72405698282413,27,0.2216117216117216,0.3157894736842105,14.75991586078827,21
751,la-liga,Valencia CF,Pepelu,27,9000000.0,24,1726,20,2,0.1,2,0.1,2.42,0.13,0.32,27,6,48,2.5,16,0.83,48,2.5,5,0.26,13,0.68,0,0.0,155,8.08,91,4.75,24,1.25,0,0.0,2.86,0.15,1131,58.97,978,51.0,0.8647,20,1.04,44,2.29,9,0.47,0.2045,9,0.47,7,0.37,0.7778,10,0.52,1,0.05,3,0,3,0.16,27,1.41,12,0.63,2075000.0,83,3.4,0.0,11,0.0,0,0.0,15,0.4,0.0,11.0,Defensive Midfield,Deep Lying Playmaker,41.98529411764706,71.76470588235294,61.02941176470589,26.273566757992427,35,0.07509157509157509,0.47368421052631576,14.54713529471886,22
880,la-liga,CA Osasuna,Lucas Torró,31,2800000.0,28,1927,26,0,0.0,1,0.05,1.37,0.06,1.37,28,6,29,1.35,25,1.17,43,2.01,4,0.19,7,0.33,0,0.0,215,10.03,144,6.72,86,4.01,1,0.05,2.39,0.11,840,39.19,632,29.49,0.7524,11,0.51,2,0.09,0,0.0,0.0,11,0.51,6,0.28,0.5455,7,0.33,0,0.0,6,0,6,0.28,28,1.31,25,1.17,2600000.0,75,3.4,0.0,11,0.75,0,0.0,0,0.47,27.78,0.0,Defensive Midfield,Ball Winning Midfielder / Anchor Man,46.61764705882353,18.71323529411765,49.63235294117647,28.72303287754949,22,0.018315018315018316,0.6842105263157895,14.489371801783149,23
257,premier-league,Crystal Palace,Jefferson Lerma,31,8000000.0,25,1337,14,1,0.07,4,0.27,1.22,0.08,1.22,14,9,21,1.41,17,1.14,48,3.23,2,0.13,11,0.74,0,0.0,170,11.43,93,6.26,54,3.63,3,0.2,2.67,0.18,688,46.28,550,37.0,0.7994,11,0.74,10,0.67,3,0.2,0.3,6,0.4,2,0.13,0.3333,7,0.47,0,0.0,6,0,6,0.4,20,1.35,16,1.08,5278000.0,75,3.4,5.56,0,0.52,5,0.21,13,0.0,0.0,0.0,Defensive Midfield,Anchor Man / Ball Winning Midfielder,52.27941176470588,38.16176470588235,50.0,29.840003255113135,16,0.06593406593406594,0.6842105263157895,14.177770750775368,24
463,premier-league,Leeds United,Ilia Gruev,25,12000000.0,21,1295,15,0,0.0,3,0.21,0.4,0.03,0.4,18,5,24,1.67,14,0.97,17,1.18,6,0.42,17,1.18,0,0.0,109,7.57,50,3.47,12,0.83,3,0.21,3.17,0.22,556,38.61,499,34.65,0.8975,11,0.76,16,1.11,5,0.35,0.3125,8,0.56,6,0.42,0.75,5,0.35,0,0.0,3,0,3,0.21,16,1.11,9,0.62,1131000.0,123,4.1,9.09,4,0.0,0,0.05,4,0.47,25.0,18.0,Defensive Midfield,Deep Lying Playmaker,44.4485294117647,63.23529411764706,19.85294117647059,24.52458437959229,45,0.10256410256410256,0.3684210526315789,14.079240250037635,25
982,la-liga,Deportivo Alavés,Carlos Protesoni,28,1000000.0,16,671,6,0,0.0,1,0.13,1.41,0.19,1.41,8,5,13,1.74,3,0.4,7,0.94,2,0.27,12,1.6,0,0.0,92,12.3,42,5.62,13,1.74,1,0.13,1.36,0.18,279,37.31,226,30.22,0.81,9,1.2,5,0.67,2,0.27,0.4,13,1.74,6,0.8,0.4614999999999999,8,1.07,1,0.13,3,0,3,0.4,8,1.07,11,1.47,1508000.0,106,4.19,5.0,0,0.52,5,0.18,13,0.54,27.78,0.0,Defensive Midfield,Ball Winning Midfielder / Deep Lying Playmaker,18.676470588235293,45.44117647058823,49.264705882352935,24.04888469609446,47,0.0018315018315018315,0.5263157894736842,13.467623851675723,26
567,la-liga,FC Barcelona,Marc Casadó,22,20000000.0,20,905,9,0,0.0,1,0.1,0.45,0.04,0.45,7,9,18,1.79,6,0.6,8,0.8,3,0.3,9,0.9,0,0.0,84,8.35,43,4.28,6,0.6,1,0.1,2.46,0.24,808,80.35,736,73.19,0.9109,10,0.99,0,0.0,0,0.0,0.0,7,0.7,2,0.2,0.2857,5,0.5,0,0.0,1,0,1,0.1,21,2.09,18,1.79,1550000.0,85,4.19,0.0,11,0.0,0,0.0,0,0.0,27.78,0.0,Defensive Midfield,Deep Lying Playmaker,21.36029411764705,88.67647058823529,33.82352941176471,22.846587575629407,57,0.17582417582417584,0.21052631578947367,13.361335985114657,27
806,la-liga,Sevilla FC,Batista Mendy,26,10000000.0,25,1591,19,1,0.06,1,0.06,1.98,0.11,1.98,21,4,36,2.03,19,1.07,22,1.24,5,0.28,13,0.73,0,0.0,172,9.72,86,4.86,15,0.85,0,0.0,1.53,0.09,646,36.5,561,31.69,0.8684000000000001,9,0.51,5,0.28,1,0.06,0.2,16,0.9,10,0.56,0.625,19,1.07,0,0.0,6,0,6,0.34,35,1.98,27,1.53,3775000.0,67,4.1,9.09,0,0.4,1,0.05,10,0.0,9.09,18.0,Defensive Midfield,Ball Winning Midfielder,40.0,41.28676470588235,55.14705882352941,24.284186939207757,46,0.08424908424908426,0.42105263157894735,13.335661780156281,28
615,la-liga,Villarreal CF,Thomas Partey,32,2500000.0,18,741,7,0,0.0,0,0.0,0.4,0.05,0.4,9,7,16,1.91,11,1.31,13,1.55,3,0.36,6,0.72,1,0.12,70,8.36,40,4.77,14,1.67,0,0.0,1.06,0.13,428,51.09,369,44.05,0.8621,5,0.6,2,0.24,2,0.24,1.0,8,0.95,6,0.72,0.75,8,0.95,0,0.0,0,0,0,0.0,9,1.07,4,0.48,5200000.0,75,3.4,5.0,0,0.0,0,0.0,0,0.0,25.0,11.0,Defensive Midfield,Deep Lying Playmaker / Anchor Man,53.8235294117647,54.48529411764705,49.26470588235294,28.364827325628532,24,0.015567765567765568,0.7368421052631579,13.160952253332407,29
122,premier-league,Tottenham Hotspur,Rodrigo Bentancur,28,22000000.0,20,1415,17,1,0.06,2,0.13,1.16,0.07,1.16,20,6,35,2.23,24,1.53,40,2.54,6,0.38,6,0.38,1,0.06,140,8.9,73,4.64,26,1.65,1,0.06,2.13,0.14,731,46.49,618,39.31,0.8454,9,0.57,7,0.45,1,0.06,0.1429,16,1.02,10,0.64,0.625,9,0.57,1,0.06,5,0,5,0.32,15,0.95,3,0.19,4455750.0,123,4.1,0.0,11,0.72,0,0.21,10,0.0,0.0,20.0,Defensive Midfield,Anchor Man,72.42647058823529,42.94117647058824,54.04411764705882,29.491736434289404,18,0.19413919413919414,0.5263157894736842,13.141244820639896,30
15,premier-league,Manchester City,Nico González,24,45000000.0,21,1376,15,1,0.07,1,0.07,1.31,0.09,1.31,12,10,37,2.42,21,1.37,43,2.81,8,0.52,8,0.52,0,0.0,170,11.12,94,6.15,31,2.03,0,0.0,2.51,0.16,1134,74.17,1021,66.78,0.9004000000000001,8,0.52,2,0.13,2,0.13,1.0,16,1.05,12,0.78,0.75,14,0.92,0,0.0,6,0,6,0.39,28,1.83,17,1.11,5655000.0,85,3.4,9.09,11,0.75,0,0.21,13,0.47,0.0,20.0,Defensive Midfield,Anchor Man / Ball Winning Midfielder,73.34558823529412,70.29411764705883,71.69117647058823,30.655393380198007,12,0.40476190476190477,0.3157894736842105,12.196746763656654,31
228,premier-league,Aston Villa,Boubacar Kamara,26,40000000.0,18,1418,17,1,0.06,4,0.25,1.25,0.08,1.25,15,5,35,2.22,17,1.08,20,1.27,8,0.51,16,1.02,0,0.0,196,12.44,113,7.17,35,2.22,3,0.19,3.86,0.24,800,50.78,706,44.81,0.8825,15,0.95,2,0.13,0,0.0,0.0,31,1.97,14,0.89,0.4515999999999999,16,1.02,0,0.0,5,0,5,0.32,16,1.02,30,1.9,11310000.0,85,4.1,0.0,20,0.4,0,0.05,10,0.4,25.0,11.0,Defensive Midfield,Deep Lying Playmaker / Ball Winning Midfielder,52.61029411764706,74.63235294117648,72.79411764705883,30.92937371012173,11,0.358974358974359,0.42105263157894735,11.739090309312013,32
124,premier-league,Tottenham Hotspur,Yves Bissouma,29,12000000.0,8,463,5,0,0.0,0,0.0,0.44,0.09,0.44,13,0,18,3.5,9,1.75,13,2.53,3,0.58,2,0.39,0,0.0,38,7.39,27,5.25,3,0.58,0,0.0,0.45,0.09,238,46.26,209,40.63,0.8782,0,0.0,1,0.19,0,0.0,0.0,1,0.19,1,0.19,1.0,3,0.58,0,0.0,3,0,3,0.58,4,0.78,5,0.97,7129200.0,67,3.4,0.0,20,0.4,5,0.21,13,0.54,27.78,20.0,Defensive Midfield,Anchor Man,84.63235294117646,43.38235294117647,75.0,26.357447748757416,34,0.10256410256410256,0.5789473684210527,11.701577303413286,33
854,la-liga,Rayo Vallecano,Gerard Gumbau,31,1400000.0,22,880,11,0,0.0,1,0.1,0.84,0.09,0.84,15,5,20,2.1,7,0.73,19,1.99,4,0.42,4,0.42,1,0.1,90,9.44,37,3.88,8,0.84,1,0.1,1.71,0.18,360,37.76,302,31.68,0.8389,12,1.26,36,3.78,10,1.05,0.2778,7,0.73,5,0.52,0.7143,4,0.42,0,0.0,4,0,4,0.41,30,3.15,4,0.42,1050000.0,75,2.34,0.0,11,0.4,0,0.18,4,0.47,9.09,11.0,Defensive Midfield,Deep Lying Playmaker,43.60294117647059,51.3235294117647,38.97058823529412,25.5386009861675,39,0.005494505494505495,0.6842105263157895,11.689555295016545,34
695,la-liga,Real Betis Balompié,Marc Roca,29,4000000.0,23,1674,20,0,0.0,2,0.11,0.84,0.05,0.84,25,7,34,1.83,17,0.91,36,1.94,6,0.32,17,0.91,0,0.0,151,8.12,73,3.92,10,0.54,2,0.11,3.22,0.17,861,46.29,752,40.43,0.8734000000000001,14,0.75,9,0.48,3,0.16,0.3333,14,0.75,10,0.54,0.7143,12,0.65,0,0.0,1,0,1,0.05,33,1.77,22,1.18,3125000.0,85,4.0,0.0,18,0.52,0,0.0,10,0.0,25.0,0.0,Defensive Midfield,Deep Lying Playmaker,44.30147058823529,59.70588235294117,30.14705882352941,23.42056531587697,52,0.029304029304029304,0.5789473684210527,10.962497068335038,35
1006,la-liga,Real Oviedo,Santiago Colombatto,29,3000000.0,26,1682,18,0,0.0,1,0.05,0.91,0.05,0.91,23,8,36,1.93,14,0.75,34,1.82,6,0.32,12,0.64,0,0.0,154,8.24,85,4.55,9,0.48,1,0.05,2.54,0.14,769,41.12,655,35.03,0.8518000000000001,20,1.07,55,2.94,15,0.8,0.2727,7,0.37,4,0.21,0.5714,9,0.48,1,0.05,6,0,6,0.32,37,1.98,36,1.93,1575000.0,67,4.19,5.0,0,0.0,5,0.0,15,0.54,25.0,11.0,Defensive Midfield,Deep Lying Playmaker,37.05882352941176,55.18382352941177,47.79411764705882,23.137793538256865,56,0.020146520146520148,0.5789473684210527,10.954450565440206,36
831,la-liga,RCD Espanyol Barcelona,Charles Pickel,28,2500000.0,18,554,4,1,0.16,1,0.16,1.21,0.2,1.21,6,5,10,1.62,4,0.65,9,1.46,2,0.32,6,0.97,0,0.0,70,11.37,27,4.39,13,2.11,0,0.0,0.35,0.06,196,31.84,160,25.99,0.8162999999999999,2,0.32,2,0.32,0,0.0,0.0,5,0.81,4,0.65,0.8,8,1.3,0,0.0,4,2,5,0.81,11,1.79,1,0.16,1825000.0,85,2.34,5.0,20,0.4,5,0.0,4,0.4,0.0,0.0,Defensive Midfield,Ball Winning Midfielder / Anchor Man,31.176470588235293,20.477941176470587,31.61764705882353,21.617112758726414,60,0.015567765567765568,0.5263157894736842,10.623764002219763,37
753,la-liga,Valencia CF,Baptiste Santamaria,31,3000000.0,19,744,7,1,0.12,2,0.24,1.04,0.13,1.04,16,6,13,1.57,8,0.97,29,3.5,2,0.24,5,0.6,0,0.0,82,9.91,45,5.44,17,2.05,1,0.12,1.41,0.17,405,48.93,332,40.11,0.8198000000000001,4,0.48,4,0.48,2,0.24,0.5,14,1.69,6,0.72,0.4286,6,0.72,1,0.12,2,0,2,0.24,14,1.69,10,1.21,3375000.0,67,4.0,0.0,4,0.0,1,0.05,13,0.0,27.78,0.0,Defensive Midfield,Anchor Man,50.91911764705882,33.89705882352941,42.64705882352941,24.776666225556134,43,0.020146520146520148,0.6842105263157895,10.48806009484474,38
282,premier-league,AFC Bournemouth,Tyler Adams,27,25000000.0,19,1441,18,2,0.12,3,0.19,2.09,0.13,2.09,23,6,42,2.62,25,1.56,31,1.94,7,0.44,15,0.94,0,0.0,147,9.18,72,4.5,17,1.06,1,0.06,2.12,0.13,806,50.34,700,43.72,0.8684999999999999,3,0.19,1,0.06,0,0.0,0.0,11,0.69,5,0.31,0.4545,8,0.5,1,0.06,7,0,7,0.44,29,1.81,12,0.75,4524000.0,67,4.19,9.09,0,0.0,5,0.0,0,0.4,0.0,0.0,Defensive Midfield,Anchor Man,68.34558823529412,43.82352941176471,58.45588235294117,26.544359577383915,32,0.2216117216117216,0.47368421052631576,10.42232371850595,39
487,premier-league,Wolverhampton Wanderers,André,24,25000000.0,14,904,9,1,0.1,1,0.1,0.18,0.02,0.18,10,3,13,1.29,10,1.0,44,4.38,7,0.7,2,0.2,0,0.0,54,5.38,35,3.48,9,0.9,0,0.0,1.55,0.15,700,69.69,631,62.82,0.9014,4,0.4,2,0.2,1,0.1,0.5,13,1.29,11,1.1,0.8462000000000001,2,0.2,0,0.0,0,0,0,0.0,8,0.8,2,0.2,7129200.0,67,4.0,0.0,4,0.4,0,0.0,4,0.4,0.0,0.0,Defensive Midfield,Anchor Man / Deep Lying Playmaker,71.69117647058823,67.64705882352942,13.970588235294118,23.297464274975994,53,0.2216117216117216,0.3157894736842105,10.333323152940133,40
905,la-liga,RCD Mallorca,Omar Mascarell,33,800000.0,24,1755,20,1,0.05,3,0.15,0.94,0.05,0.94,25,3,41,2.1,29,1.49,57,2.92,13,0.67,15,0.77,0,0.0,147,7.54,74,3.79,21,1.08,2,0.1,2.97,0.15,790,40.51,669,34.31,0.8468000000000001,7,0.36,6,0.31,1,0.05,0.1667,7,0.36,4,0.21,0.5714,4,0.21,0,0.0,4,0,4,0.21,30,1.54,11,0.56,1050000.0,85,4.1,0.0,0,0.72,5,0.21,10,0.54,9.09,0.0,Defensive Midfield,Anchor Man,82.5735294117647,31.47058823529412,37.5,25.850621236316403,36,0.0,0.7894736842105263,10.061147552105876,41
152,premier-league,Manchester United,Casemiro,34,8000000.0,29,2148,28,7,0.29,9,0.38,7.98,0.33,7.98,24,5,70,2.93,22,0.92,52,2.18,17,0.71,34,1.42,0,0.0,289,12.11,148,6.2,46,1.93,2,0.08,4.26,0.18,1324,55.47,1072,44.92,0.8097,28,1.17,16,0.67,5,0.21,0.3125,11,0.46,6,0.25,0.5455,12,0.5,3,0.13,10,1,10,0.42,42,1.76,27,1.13,27144000.0,85,2.34,0.0,18,0.0,1,0.0,0,0.54,0.0,20.0,Defensive Midfield,Ball Winning Midfielder,62.4264705882353,56.838235294117645,79.41176470588236,28.54799996242816,23,0.06593406593406594,0.8421052631578947,9.72787272124829,42
1007,la-liga,Real Oviedo,Leander Dendoncker,30,3000000.0,19,1333,15,1,0.07,1,0.07,1.4,0.09,1.4,23,5,36,2.43,11,0.74,34,2.3,7,0.47,16,1.08,1,0.07,120,8.1,64,4.32,21,1.42,0,0.0,1.41,0.1,552,37.27,477,32.21,0.8641,7,0.47,4,0.27,2,0.14,0.5,10,0.68,5,0.34,0.5,6,0.41,1,0.07,2,0,2,0.14,12,0.81,3,0.2,3900000.0,106,4.19,9.09,0,0.75,0,0.0,15,0.47,9.09,20.0,Defensive Midfield,Ball Winning Midfielder / Anchor Man,49.9264705882353,38.60294117647059,51.47058823529412,22.228313229749734,58,0.020146520146520148,0.631578947368421,8.992338677985707,43
931,la-liga,Levante UD,Oriol Rey,28,1800000.0,18,1184,13,0,0.0,0,0.0,0.38,0.03,0.38,19,3,19,1.44,9,0.68,29,2.2,5,0.38,13,0.99,0,0.0,92,6.99,41,3.12,9,0.68,0,0.0,1.31,0.1,481,36.56,414,31.47,0.8606999999999999,8,0.61,6,0.46,3,0.23,0.5,2,0.15,1,0.08,0.5,3,0.23,0,0.0,3,0,3,0.23,23,1.75,12,0.91,1240000.0,123,4.19,0.0,11,0.72,0,0.21,15,0.47,0.0,20.0,Defensive Midfield,Deep Lying Playmaker / Anchor Man,43.30882352941177,43.63970588235294,15.441176470588236,19.68165023163672,64,0.009157509157509158,0.5263157894736842,8.880609167437763,44
227,premier-league,Aston Villa,Amadou Onana,24,45000000.0,23,1657,20,2,0.11,2,0.11,2.59,0.14,2.59,22,7,45,2.42,23,1.24,57,3.07,17,0.92,11,0.59,0,0.0,177,9.53,112,6.03,37,1.99,0,0.0,1.9,0.1,791,42.6,691,37.22,0.8736,6,0.32,0,0.0,0,0.0,0.0,13,0.7,8,0.43,0.6154,10,0.54,0,0.0,2,0,2,0.11,19,1.02,25,1.35,10556000.0,83,4.19,9.09,4,0.52,5,0.05,13,0.4,9.09,0.0,Defensive Midfield,Anchor Man,78.97058823529412,42.75735294117647,70.95588235294117,26.9673491165033,31,0.40476190476190477,0.3157894736842105,8.508702499961947,45
408,premier-league,Sunderland AFC,Granit Xhaka,33,10000000.0,28,2362,26,1,0.04,6,0.23,1.85,0.07,1.85,27,9,45,1.72,23,0.88,75,2.86,17,0.65,13,0.5,0,0.0,211,8.04,130,4.96,48,1.83,5,0.19,6.59,0.25,1380,52.6,1142,43.53,0.8275,28,1.07,78,2.97,19,0.72,0.2435999999999999,18,0.69,5,0.19,0.2778,12,0.46,0,0.0,5,0,5,0.19,21,0.8,35,1.33,8294000.0,67,4.1,0.0,4,0.72,0,0.0,4,0.54,9.09,0.0,Defensive Midfield,Anchor Man,63.01470588235294,56.65441176470589,42.27941176470589,26.361796023177657,33,0.08424908424908426,0.7894736842105263,8.0448498114946,46
123,premier-league,Tottenham Hotspur,João Palhinha,30,18000000.0,27,1807,19,3,0.15,5,0.25,3.33,0.17,3.33,31,7,97,4.83,22,1.1,45,2.24,10,0.5,17,0.85,0,0.0,250,12.45,158,7.87,29,1.44,2,0.1,2.68,0.13,810,40.34,650,32.37,0.8025,6,0.3,4,0.2,0,0.0,0.0,20,1.0,7,0.35,0.35,18,0.9,0,0.0,6,0,6,0.3,22,1.1,27,1.34,8020350.0,83,2.34,0.0,4,0.72,0,0.0,0,0.0,25.0,18.0,Defensive Midfield,Ball Winning Midfielder,62.20588235294117,20.22058823529412,93.38235294117648,25.246296787009566,41,0.1575091575091575,0.631578947368421,7.8894431143664185,47
777,la-liga,Girona FC,Axel Witsel,37,1400000.0,25,2002,23,1,0.04,3,0.13,1.91,0.09,1.91,25,4,29,1.3,25,1.12,47,2.11,7,0.31,28,1.26,0,0.0,193,8.68,100,4.5,38,1.71,2,0.09,4.14,0.19,1151,51.74,1046,47.02,0.9088,16,0.72,1,0.04,0,0.0,0.0,12,0.54,8,0.36,0.6667000000000001,16,0.72,0,0.0,3,1,3,0.13,31,1.39,27,1.21,5200000.0,123,4.1,5.56,11,0.72,5,0.05,4,0.0,25.0,11.0,Defensive Midfield,Deep Lying Playmaker,51.61764705882352,76.02941176470588,27.573529411764707,27.565648087099554,28,0.005494505494505495,1.0,7.4008129222643895,48
752,la-liga,Valencia CF,Guido Rodríguez,32,5000000.0,9,678,7,2,0.27,2,0.27,1.8,0.24,1.8,9,3,25,3.32,4,0.53,24,3.19,5,0.66,14,1.86,1,0.13,101,13.41,58,7.7,12,1.59,0,0.0,0.95,0.13,409,54.29,358,47.52,0.8753,4,0.53,2,0.27,1,0.13,0.5,9,1.19,5,0.66,0.5556,6,0.8,0,0.0,2,0,2,0.27,13,1.73,16,2.12,2080000.0,106,4.19,0.0,11,0.52,5,0.0,10,0.4,0.0,0.0,Defensive Midfield,Ball Winning Midfielder,55.367647058823536,60.95588235294118,87.13235294117648,23.196489946788784,54,0.038461538461538464,0.7368421052631579,7.305801687679473,49
203,premier-league,Nottingham Forest,Ibrahim Sangaré,28,22000000.0,24,1860,22,2,0.1,4,0.19,2.39,0.12,2.39,22,8,52,2.51,18,0.87,45,2.18,15,0.73,21,1.02,2,0.1,200,9.67,96,4.64,21,1.02,2,0.1,3.06,0.15,828,40.04,720,34.82,0.8695999999999999,11,0.53,7,0.34,0,0.0,0.0,19,0.92,11,0.53,0.5789,16,0.77,0,0.0,5,0,5,0.24,36,1.74,15,0.73,5655000.0,85,4.19,0.0,0,0.4,0,0.0,4,0.47,0.0,0.0,Defensive Midfield,Anchor Man / Ball Winning Midfielder,60.22058823529412,46.36029411764706,59.92647058823529,23.4718951141016,51,0.19413919413919414,0.5263157894736842,7.121403500452091,50
360,premier-league,Everton FC,Idrissa Gueye,36,1000000.0,23,1926,23,2,0.09,5,0.23,2.97,0.14,2.97,23,6,45,2.1,29,1.36,21,0.98,7,0.33,17,0.79,0,0.0,159,7.43,90,4.21,13,0.61,3,0.14,4.03,0.19,982,45.89,854,39.91,0.8697,13,0.61,19,0.89,7,0.33,0.3684,20,0.93,6,0.28,0.3,11,0.51,0,0.0,2,1,3,0.14,19,0.89,27,1.26,9048000.0,67,3.4,9.09,20,0.0,1,0.21,0,0.4,25.0,20.0,Defensive Midfield,Deep Lying Playmaker,48.56617647058823,55.03676470588236,44.11764705882353,25.78693621782182,37,0.0018315018315018315,0.9473684210526315,6.784622741824137,51
97,premier-league,Liverpool FC,Wataru Endo,33,5000000.0,8,170,1,0,0.0,1,0.53,0.05,0.03,0.05,2,2,7,3.71,0,0.0,12,6.35,0,0.0,3,1.59,0,0.0,28,14.82,18,9.53,8,4.24,1,0.53,0.79,0.42,96,50.82,80,42.35,0.8332999999999999,1,0.53,3,1.59,0,0.0,0.0,1,0.53,0,0.0,0.0,1,0.53,0,0.0,1,0,1,0.53,2,1.06,3,1.59,3770000.0,67,4.19,5.0,20,0.0,0,0.0,0,0.4,0.0,0.0,Defensive Midfield,Ball Winning Midfielder,28.45588235294117,41.13970588235294,93.38235294117648,23.640534050179212,49,0.038461538461538464,0.7894736842105263,6.697214212122532,52
383,premier-league,Fulham FC,Sander Berge,28,25000000.0,32,2686,31,1,0.03,2,0.07,0.8,0.03,0.8,39,6,55,1.84,23,0.77,49,1.64,17,0.57,10,0.33,1,0.03,216,7.23,121,4.05,46,1.54,1,0.03,3.95,0.13,1568,52.52,1409,47.19,0.8986,17,0.57,12,0.4,3,0.1,0.25,20,0.67,9,0.3,0.45,19,0.64,0,0.0,5,0,5,0.17,31,1.04,14,0.47,4147000.0,123,2.34,0.0,0,0.0,0,0.05,0,0.0,0.0,0.0,Defensive Midfield,Deep Lying Playmaker,47.5735294117647,69.41176470588235,33.45588235294118,23.61281242485334,50,0.2216117216117216,0.5263157894736842,6.4381449870280125,53
694,la-liga,Real Betis Balompié,Sofyan Amrabat,29,12000000.0,11,871,9,0,0.0,0,0.0,0.44,0.05,0.44,9,3,17,1.76,7,0.72,11,1.14,3,0.31,8,0.83,0,0.0,68,7.03,38,3.93,4,0.41,0,0.0,1.34,0.14,636,65.72,580,59.93,0.9119,6,0.62,6,0.62,0,0.0,0.0,5,0.52,3,0.31,0.6,4,0.41,0,0.0,3,0,3,0.31,12,1.24,15,1.55,7812500.0,75,3.4,0.0,0,0.75,5,0.0,0,0.0,9.09,0.0,Defensive Midfield,Deep Lying Playmaker,27.86764705882353,79.33823529411764,29.044117647058822,21.012071069416432,61,0.10256410256410256,0.5789473684210527,6.356200624072303,54
308,premier-league,Brighton & Hove Albion,Carlos Baleba,22,55000000.0,16,671,6,0,0.0,1,0.13,1.41,0.19,1.41,8,5,13,1.74,3,0.4,7,0.94,2,0.27,12,1.6,0,0.0,92,12.3,42,5.62,13,1.74,1,0.13,1.36,0.18,279,37.31,226,30.22,0.81,9,1.2,5,0.67,2,0.27,0.4,13,1.74,6,0.8,0.4614999999999999,8,1.07,1,0.13,3,0,3,0.4,8,1.07,11,1.47,1508000.0,67,4.19,0.0,11,0.0,0,0.0,13,0.54,0.0,20.0,Defensive Midfield,Ball Winning Midfielder / Deep Lying Playmaker,18.676470588235293,45.44117647058823,49.264705882352935,24.04888469609446,47,0.49633699633699635,0.21052631578947367,4.948248490195097,55
