Unnamed: 0,League,Team,Name,Age,Market Value,Matches Played,Minutes,Matches Started,Goals Scored,Goals Scored (Per90),Goal Involvement,Goal Involvement (Per90),Expected Goals (xG),Expected Goals (xG) (Per90),Non-Penalty xG (npxG),Goals Conceded,Clean Sheets,Tackles,Tackles (Per90),Interceptions,Interceptions (Per90),Clearances,Clearances (Per90),Shots Blocked,Shots Blocked (Per90),Dribbled Past,Dribbled Past (Per90),Penalties Given Away,Penalties Given Away (Per90),Ground Duels,Ground Duels (Per90),Ground Duels Won,Ground Duels Won (Per90),Aerial Duels Won,Aerial Duels Won (Per90),Assists,Assists (Per90),Expected Assists (xA),Expected Assists (xA) (Per90),Passes,Passes (Per90),Successful Passes,Successful Passes (Per90),Pass Completion Rate,Key Passes,Key Passes (Per90),Crosses,Crosses (Per90),Successful Crosses,Successful Crosses (Per90),Cross Completion Rate,Dribbles,Dribbles (Per90),Successful Dribbles,Successful Dribbles (Per90),Dribble Success Rate,Dispossesed,Dispossesed (Per90),Offsides,Offsides (Per90),Yellow Cards,Red Cards,Total Cards,Total Cards (Per90),Fouls Committed,Fouls Committed (Per90),Fouled Against,Fouled Against (Per90),Annual Salary,Shots Faced,Shots Faced (Per90),Shot Conversion Rate,Shots Taken,Shots Taken (Per90),Shots On Target,Shots On Target (Per90),Shots Off Target,Shots Off Target (Per90),Shot Accuracy,Shots Per Goal Scored,Position,Tactical_Role,Inside Forward_Score,Traditional Winger_Score,Winger_Type,Performance_Score,Rank,Value_Normalized,Age_Normalized,Value_Score,Value_Rank
263,premier-league,Crystal Palace,Yéremy Pino,23,35000000.0,2,160,2,0,0.0,1,0.56,0.17,0.1,0.17,0,2,2,1.12,3,1.69,2,1.12,1,0.56,2,1.12,0,0.0,10,5.62,2,1.12,0,0.0,1,0.56,1.0,0.56,88,49.5,73,41.06,0.8295,7,3.94,12,6.75,1,0.56,0.0833,3,1.69,1,0.56,0.3333,0,0.0,0,0.0,0,0,0,0.0,2,1.12,0,0.0,1040000.0,85,3.4,0.0,5,0.67,1,0.11,19,0.35,38.71,0.0,Right Winger,Traditional Winger,23.923076923076923,69.96153846153847,Right Winger,37.274684872463105,14,0.1745872936468234,0.35,25.037066063058404,11
650,la-liga,Athletic Bilbao,Nico Williams,23,50000000.0,21,1426,16,4,0.25,7,0.44,5.16,0.33,3.76,21,5,13,0.82,6,0.38,7,0.44,0,0.0,16,1.01,0,0.0,237,14.96,101,6.37,7,0.44,3,0.19,3.78,0.24,501,31.62,387,24.42,0.7725,31,1.96,60,3.79,15,0.95,0.25,129,8.14,57,3.6,0.4418999999999999,24,1.51,6,0.38,2,0,2,0.13,20,1.26,25,1.58,20837500.0,85,4.0,0.0,6,0.4,5,0.22,1,0.04,16.67,3.0,Left Winger,Traditional Winger,69.01923076923076,75.01923076923077,Left Winger,39.11625704745271,9,0.2496248124062031,0.35,24.62751267526662,12
676,la-liga,Real Sociedad,Ander Barrenetxea,24,18000000.0,25,1476,18,3,0.18,7,0.43,3.94,0.24,3.94,21,3,22,1.34,14,0.85,9,0.55,2,0.12,11,0.67,0,0.0,211,12.87,92,5.61,8,0.49,4,0.24,4.77,0.29,594,36.22,478,29.15,0.8047,41,2.5,62,3.78,9,0.55,0.1452,82,5.0,38,2.32,0.4634,24,1.46,3,0.18,3,0,3,0.18,30,1.83,24,1.46,3900000.0,106,2.34,33.33,6,0.4,1,0.07,5,0.33,16.67,3.0,Left Winger,Traditional Winger,56.21153846153846,64.3076923076923,Left Winger,34.26235422329312,18,0.0895447723861931,0.4,23.57601105170733,13
813,la-liga,Sevilla FC,Adnan Januzaj,31,1200000.0,12,313,2,0,0.0,0,0.0,0.37,0.11,0.37,7,2,6,1.73,1,0.29,3,0.86,0,0.0,1,0.29,1,0.29,47,13.51,23,6.61,0,0.0,0,0.0,0.63,0.18,128,36.81,113,32.49,0.8828,11,3.16,30,8.63,8,2.3,0.2667,19,5.46,8,2.3,0.4211,5,1.44,1,0.29,1,0,1,0.29,8,2.3,10,2.88,3912500.0,85,3.4,20.0,7,0.4,1,0.11,6,0.67,38.71,0.0,Right Winger,Traditional Winger,29.82692307692308,87.11538461538461,Right Winger,38.52558694943987,10,0.005502751375687844,0.75,23.360504408169234,14
573,la-liga,FC Barcelona,Raphinha,29,80000000.0,20,1300,17,11,0.76,14,0.97,10.78,0.75,8.68,9,11,13,0.9,5,0.35,11,0.76,0,0.0,13,0.9,0,0.0,103,7.13,45,3.11,2,0.14,3,0.21,4.2,0.29,592,40.95,484,33.48,0.8176000000000001,40,2.77,68,4.7,19,1.31,0.2794,39,2.7,21,1.45,0.5385,14,0.97,2,0.14,4,0,4,0.28,10,0.69,9,0.62,20840000.0,106,3.4,33.33,6,0.4,5,0.07,1,0.04,83.33,3.0,Left Winger,Traditional Winger / Inside Forward,83.30769230769229,87.76923076923077,Left Winger,48.25888514865552,4,0.3996998499249625,0.65,23.267889650906646,15
133,premier-league,Tottenham Hotspur,Mohammed Kudus,25,55000000.0,19,1546,19,2,0.12,8,0.47,3.03,0.18,3.03,20,7,27,1.57,3,0.17,6,0.35,0,0.0,11,0.64,0,0.0,258,15.02,103,6.0,11,0.64,6,0.35,4.55,0.26,442,25.73,379,22.06,0.8575,24,1.4,122,7.1,30,1.75,0.2459,101,5.88,51,2.97,0.505,56,3.26,10,0.58,3,0,3,0.17,23,1.34,15,0.87,10181388.0,85,3.4,0.0,5,0.67,12,0.66,6,1.04,14.29,7.75,Right Winger,Traditional Winger,53.115384615384606,82.96153846153847,Right Winger,39.46392496894142,8,0.27463731865932967,0.45,22.22480540916153,16
316,premier-league,Brighton & Hove Albion,Yankuba Minteh,21,40000000.0,28,1916,21,2,0.09,6,0.28,3.74,0.18,3.74,24,6,40,1.88,13,0.61,13,0.61,0,0.0,16,0.75,0,0.0,270,12.68,127,5.96,12,0.56,4,0.19,4.56,0.21,494,23.19,327,15.35,0.6618999999999999,40,1.88,104,4.88,27,1.27,0.2596,104,4.88,57,2.68,0.5481,29,1.36,10,0.47,2,0,2,0.09,26,1.22,20,0.94,2376400.0,85,3.4,12.9,31,1.69,1,0.11,3,1.04,14.29,5.0,Right Winger,Traditional Winger,55.03846153846153,77.17307692307693,Right Winger,32.00926388255588,21,0.19959979989994997,0.25,21.02126988555738,17
887,la-liga,CA Osasuna,Raúl Moro,23,5000000.0,14,562,7,0,0.0,1,0.16,0.84,0.13,0.84,9,2,6,0.96,3,0.48,2,0.32,0,0.0,6,0.96,0,0.0,40,6.41,14,2.24,1,0.16,1,0.16,1.42,0.23,177,28.35,143,22.9,0.8079000000000001,16,2.56,39,6.25,4,0.64,0.1026,20,3.2,5,0.8,0.25,2,0.32,3,0.48,1,0,1,0.16,3,0.48,2,0.32,1380000.0,75,2.34,0.0,6,0.27,5,0.22,1,0.04,83.33,0.0,Left Winger,Traditional Winger,18.07692307692308,67.21153846153847,Left Winger,28.35222112844849,35,0.02451225612806403,0.35,20.61685344460657,18
574,la-liga,FC Barcelona,Marcus Rashford,28,40000000.0,26,1442,15,6,0.37,13,0.81,8.88,0.55,8.88,17,9,8,0.5,1,0.06,13,0.81,3,0.19,3,0.19,0,0.0,132,8.24,52,3.25,4,0.25,7,0.44,6.61,0.41,639,39.88,540,33.7,0.8451000000000001,39,2.43,87,5.43,25,1.56,0.2874,72,4.49,21,1.31,0.2917,19,1.19,10,0.62,2,0,2,0.12,6,0.37,20,1.25,17500000.0,67,2.34,33.33,6,0.27,1,0.07,5,0.04,16.67,0.0,Left Winger,Traditional Winger,70.5,92.59615384615384,Left Winger,38.16915541034175,11,0.19959979989994997,0.6,20.181161413343254,19
811,la-liga,Sevilla FC,Rubén Vargas,27,12000000.0,17,1151,14,3,0.23,8,0.63,3.66,0.29,2.96,21,3,14,1.09,6,0.47,8,0.62,1,0.08,5,0.39,0,0.0,116,9.06,56,4.38,16,1.25,5,0.39,4.28,0.33,399,31.17,281,21.95,0.7043,19,1.48,56,4.38,18,1.41,0.3214,33,2.58,16,1.25,0.4847999999999999,13,1.02,6,0.47,1,0,1,0.08,10,0.78,12,0.94,3912500.0,123,4.1,0.0,6,0.27,5,0.07,1,0.04,83.33,3.0,Left Winger,Traditional Winger,52.40384615384615,83.90384615384616,Left Winger,32.93791740366514,20,0.05952976488244122,0.55,20.152024457191903,20
651,la-liga,Athletic Bilbao,Álex Berenguer,30,5000000.0,26,1881,22,3,0.14,6,0.29,4.19,0.2,4.19,22,5,24,1.15,13,0.62,16,0.77,0,0.0,19,0.91,0,0.0,266,12.72,108,5.16,30,1.43,3,0.14,4.82,0.23,677,32.38,521,24.91,0.7696,45,2.15,171,8.18,41,1.96,0.2398,54,2.58,20,0.96,0.3704,36,1.72,6,0.29,4,0,4,0.19,22,1.05,38,1.82,3900000.0,123,4.19,0.0,6,0.4,5,0.22,1,0.04,83.33,3.0,Left Winger,Traditional Winger,43.94230769230769,88.07692307692308,Left Winger,34.57244453202547,17,0.02451225612806403,0.7,19.83707684818355,21
915,la-liga,RCD Mallorca,Justin Kalumba,21,800000.0,18,921,10,2,0.2,2,0.2,2.32,0.23,2.32,17,5,11,1.07,4,0.39,3,0.29,1,0.1,8,0.78,0,0.0,107,10.46,36,3.52,6,0.59,0,0.0,1.23,0.12,327,31.95,267,26.09,0.8165,22,2.15,40,3.91,8,0.78,0.2,25,2.44,11,1.07,0.44,15,1.47,1,0.1,4,0,4,0.39,15,1.47,9,0.88,6032000.0,85,3.4,0.0,7,0.67,1,0.66,6,0.67,38.71,7.75,Right Winger,Traditional Winger / Inside Forward,56.57692307692308,60.05769230769232,Right Winger,24.939310009189505,55,0.003501750875437719,0.25,19.834257482926372,22
550,la-liga,Real Madrid,Rodrygo,25,50000000.0,19,676,6,1,0.13,4,0.53,2.99,0.4,2.99,3,7,13,1.73,3,0.4,4,0.53,0,0.0,6,0.8,0,0.0,100,13.31,52,6.92,0,0.0,3,0.4,3.0,0.4,324,43.14,295,39.28,0.9105,17,2.26,42,5.59,12,1.6,0.2857,36,4.79,16,2.13,0.4443999999999999,9,1.2,0,0.0,3,0,3,0.4,6,0.8,23,3.06,20837500.0,85,3.4,20.0,7,0.4,1,0.66,3,0.67,14.29,0.0,Right Winger,Traditional Winger,64.32692307692307,92.42307692307692,Right Winger,36.07295124150839,15,0.2496248124062031,0.45,19.584206869322298,23
731,la-liga,Celta de Vigo,Hugo Álvarez,22,8000000.0,28,1811,21,11,0.55,15,0.75,11.24,0.56,11.24,20,8,11,0.55,4,0.2,26,1.29,3,0.15,3,0.15,0,0.0,232,11.53,89,4.42,31,1.54,4,0.2,3.8,0.19,403,20.03,309,15.36,0.7667,21,1.04,7,0.35,1,0.05,0.1429,69,3.43,36,1.79,0.5217,25,1.24,11,0.55,0,0,0,0.0,35,1.74,12,0.6,15080000.0,85,4.1,33.33,6,0.27,5,0.22,1,0.33,16.67,0.0,Left Winger,Inside Forward,77.07692307692308,25.0,Left Winger,26.227757653257264,44,0.03951975987993997,0.3,19.042164856859063,24
889,la-liga,CA Osasuna,Iker Benito,23,1500000.0,5,147,1,1,0.61,1,0.61,0.79,0.48,0.79,1,1,1,0.61,2,1.22,5,3.06,1,0.61,2,1.22,0,0.0,17,10.41,6,3.67,1,0.61,0,0.0,0.18,0.11,75,45.92,61,37.35,0.8133,2,1.22,6,3.67,3,1.84,0.5,3,1.84,1,0.61,0.3333,1,0.61,0,0.0,1,0,1,0.61,3,1.84,3,1.84,400000.0,85,3.4,20.0,31,1.69,12,0.27,6,0.35,40.0,0.0,Right Winger,Inside Forward,83.46153846153847,68.36538461538463,Right Winger,26.12273799697792,46,0.007003501750875438,0.35,18.91263294445166,25
838,la-liga,RCD Espanyol Barcelona,Cyril Ngonge,25,8000000.0,7,357,5,0,0.0,2,0.5,0.57,0.14,0.57,7,1,6,1.51,3,0.76,2,0.5,0,0.0,2,0.5,0,0.0,60,15.13,28,7.06,7,1.76,2,0.5,1.62,0.41,104,26.22,76,19.16,0.7308,6,1.51,20,5.04,6,1.51,0.3,18,4.54,5,1.26,0.2778,7,1.76,2,0.5,3,0,3,0.76,8,2.02,10,2.52,5278000.0,85,3.4,0.0,5,0.78,1,0.27,19,0.4,40.0,7.75,Right Winger,Traditional Winger,37.09615384615385,85.96153846153847,Right Winger,28.926285421991558,31,0.03951975987993997,0.45,18.740692625593358,26
